,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,,,-additional
Rk,Player,WS,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
270,Danny Granger,21.6,2009-10,2014-15,26-31,279,211,0,31.0,5.8,13.8,3.9,8.8,1.8,5.0,4.0,4.6,1.0,3.6,4.6,1.9,1.0,0.6,2.0,2.4,17.3,.418,.445,.369,.854,.547,.484,F,INDLACMIA,grangda01
271,Chris Boucher,21.5,2017-18,2022-23,25-30,307,23,0,18.4,3.2,6.7,2.4,4.0,0.9,2.6,1.7,2.2,1.9,3.5,5.4,0.5,0.5,1.1,0.5,2.0,9.1,.486,.586,.334,.780,.595,.552,F,GSWTOR,bouchch01
272,Buddy Hield,21.4,2016-17,2022-23,24-30,548,369,0,29.5,5.8,13.4,2.7,5.7,3.1,7.7,1.3,1.5,0.8,3.6,4.4,2.6,0.9,0.3,1.8,2.1,16.1,.434,.477,.402,.858,.570,.550,G-F,INDNOPSAC,hieldbu01
273,Spencer Hawes,21.2,2009-10,2016-17,21-28,536,309,0,23.0,3.6,7.9,3.0,6.3,0.6,1.7,1.0,1.4,1.4,4.4,5.8,2.0,0.4,1.0,1.4,2.5,8.8,.455,.482,.354,.731,.516,.492,C-F,CHOCLELACMILPHISAC,hawessp01
274,Dejounte Murray,21.1,2016-17,2022-23,20-26,394,323,1,27.8,5.7,12.4,4.8,9.8,0.9,2.7,1.7,2.2,1.0,4.9,5.9,5.0,1.4,0.3,1.9,1.8,14.0,.458,.491,.335,.784,.522,.493,G,ATLSAS,murrade01
275,Wayne Ellington,21.1,2009-10,2021-22,22-34,770,206,0,20.9,2.9,7.1,1.3,2.9,1.6,4.1,0.7,0.8,0.3,1.8,2.1,1.1,0.5,0.1,0.7,1.1,8.0,.410,.450,.382,.843,.542,.522,G,BRKCLEDALDETLALMEMMIAMINNYK,ellinwa01
276,J.J. Barea,21.1,2009-10,2019-20,25-35,675,82,0,20.8,3.7,8.7,2.6,5.6,1.1,3.1,1.2,1.5,0.3,1.9,2.2,4.3,0.4,0.0,1.6,1.5,9.7,.423,.463,.351,.800,.516,.486,G,DALMIN,bareajo01
277,Jason Thompson,21.0,2009-10,2015-16,23-29,506,356,0,24.7,3.5,7.0,3.5,6.9,0.0,0.1,1.5,2.4,2.0,4.4,6.5,1.1,0.5,0.7,1.2,2.8,8.5,.496,.499,.176,.648,.528,.497,F-C,GSWSACTOR,thompja02
278,Michael Kidd-Gilchrist,21.0,2012-13,2019-20,19-26,446,356,0,24.6,3.3,6.9,3.2,6.7,0.1,0.2,1.8,2.5,1.6,3.8,5.4,1.2,0.7,0.7,0.9,2.1,8.4,.474,.481,.272,.715,.524,.478,F,CHACHODAL,kiddgmi01
279,Lamar Odom,20.9,2009-10,2012-13,30-33,296,79,0,26.6,3.7,7.9,3.1,6.0,0.6,1.9,1.3,2.0,1.7,5.7,7.4,2.5,0.7,0.7,1.4,2.5,9.2,.462,.511,.307,.653,.523,.499,F,DALLACLAL,odomla01
280,Ömer Aşık,20.9,2010-11,2017-18,24-31,471,262,0,19.6,2.0,3.8,2.0,3.8,0.0,0.0,1.2,2.3,2.2,4.9,7.1,0.6,0.4,0.7,1.2,2.0,5.3,.528,.528,.000,.551,.548,.528,C,CHIHOUNOP,asikom01
281,Nikola Mirotić,20.8,2014-15,2018-19,23-27,319,95,0,24.2,4.1,9.7,2.2,4.3,1.9,5.4,2.2,2.7,0.9,5.0,5.9,1.3,0.8,0.7,1.2,2.1,12.3,.423,.502,.359,.808,.565,.522,F,CHIMILNOP,mirotni01
282,Reggie Bullock,20.8,2013-14,2022-23,22-31,512,294,0,23.7,2.7,6.5,1.1,2.1,1.7,4.3,0.5,0.7,0.4,2.3,2.7,1.2,0.6,0.1,0.6,1.5,7.7,.425,.506,.384,.827,.570,.553,G-F,DALDETLACLALNYKPHO,bullore01
283,T.J. Warren,20.8,2014-15,2022-23,21-29,374,236,0,27.4,6.0,11.9,5.3,9.9,0.7,2.0,1.8,2.3,1.3,2.7,4.0,1.2,0.9,0.5,1.0,2.3,14.6,.506,.537,.354,.780,.563,.536,F,BRKINDPHO,warretj01
284,John Henson,20.7,2012-13,2019-20,22-29,445,160,0,19.7,3.2,6.0,3.2,5.8,0.0,0.2,1.1,1.9,1.8,3.5,5.3,1.1,0.5,1.4,1.1,2.2,7.6,.540,.549,.250,.568,.557,.544,C-F,CLEDETMIL,hensojo01
285,Pat Connaughton,20.6,2015-16,2022-23,23-30,478,68,0,19.2,2.2,5.2,1.1,1.8,1.2,3.3,0.4,0.6,0.7,2.8,3.5,1.3,0.5,0.3,0.5,1.2,6.1,.436,.576,.359,.777,.567,.552,G,MILPOR,connapa01
286,J.J. Hickson,20.4,2009-10,2015-16,21-27,472,307,0,23.8,4.1,8.2,4.1,8.1,0.0,0.0,2.0,3.2,2.4,5.0,7.4,0.9,0.6,0.6,1.5,2.0,10.2,.505,.507,.000,.615,.533,.505,F-C,CLEDENPORSACWAS,hicksjj01
287,C.J. Watson,20.4,2009-10,2016-17,25-32,491,86,0,20.0,2.5,6.0,1.6,3.7,0.8,2.3,1.3,1.7,0.3,1.6,1.9,2.5,0.9,0.1,1.1,1.5,7.1,.412,.437,.371,.799,.528,.482,G,BRKCHIGSWINDORL,watsocj01
288,Doug McDermott,20.2,2014-15,2022-23,23-31,591,94,0,20.9,3.5,7.4,2.1,3.9,1.4,3.5,0.9,1.0,0.4,1.9,2.3,1.0,0.2,0.1,0.7,1.5,9.3,.474,.531,.410,.813,.591,.571,F,CHIDALINDNYKOKCSAS,mcderdo01
289,Tyler Hansbrough,20.2,2009-10,2015-16,24-30,428,50,0,16.9,2.2,5.0,2.2,5.0,0.0,0.1,2.3,3.1,1.7,2.5,4.2,0.4,0.5,0.2,0.7,2.0,6.7,.439,.442,.136,.738,.525,.440,F,CHOINDTOR,hansbty01
290,Evan Turner,20.2,2010-11,2019-20,22-31,705,295,0,26.9,3.9,9.0,3.5,7.7,0.4,1.3,1.5,1.9,0.6,4.1,4.6,3.5,0.8,0.3,1.8,2.0,9.7,.434,.458,.294,.782,.493,.455,G,ATLBOSINDPHIPOR,turneev01
291,Anthony Morrow,20.2,2009-10,2016-17,24-31,497,125,0,21.7,3.4,7.7,2.0,4.2,1.5,3.5,1.1,1.2,0.5,1.6,2.0,0.8,0.6,0.1,0.7,1.5,9.4,.442,.468,.411,.881,.566,.536,G,ATLCHIDALGSWNJNNOPOKC,morroan01
292,Chauncey Billups,20.2,2009-10,2013-14,33-37,206,194,1,29.8,4.4,10.7,2.4,5.6,1.9,5.0,4.8,5.3,0.3,2.3,2.6,4.7,0.9,0.1,2.2,1.9,15.5,.410,.433,.385,.912,.597,.501,G,DENDETLACNYK,billuch01
293,Aron Baynes,20.0,2012-13,2020-21,26-34,522,168,0,16.0,2.4,4.9,2.2,4.2,0.2,0.7,1.0,1.2,1.5,3.0,4.6,0.8,0.2,0.5,0.9,2.2,6.0,.489,.519,.308,.794,.550,.511,C,BOSDETPHOSASTOR,baynear01
294,Marcus Thornton,20.0,2009-10,2016-17,22-29,483,135,0,23.4,4.4,10.4,2.9,6.1,1.5,4.2,1.6,1.9,0.8,1.9,2.8,1.4,0.8,0.1,1.0,1.5,11.9,.425,.471,.358,.830,.531,.498,G,BOSBRKHOUNOHPHOSACWAS,thornma01
295,Nemanja Bjelica,20.0,2015-16,2021-22,27-33,449,162,0,20.4,2.8,6.1,1.7,3.2,1.1,2.9,0.8,1.0,1.1,3.5,4.6,1.8,0.6,0.4,1.0,2.4,7.6,.466,.539,.384,.759,.578,.556,F,GSWMIAMINSAC,bjeline01
296,Brandon Clarke,19.9,2019-20,2022-23,23-26,237,29,0,21.3,4.5,7.5,4.3,6.8,0.2,0.7,1.5,2.1,1.8,3.8,5.6,1.4,0.7,0.9,0.7,1.8,10.7,.604,.637,.290,.705,.638,.618,F,MEM,clarkbr01
297,Daniel Theis,19.8,2017-18,2022-23,25-30,313,148,0,19.5,3.0,5.5,2.5,3.9,0.5,1.6,1.1,1.5,1.5,3.4,4.9,1.3,0.5,0.9,0.8,2.6,7.6,.543,.629,.326,.714,.613,.589,C,BOSCHIHOUIND,theisda01
298,Ja Morant,19.7,2019-20,2022-23,20-23,248,246,2,32.1,8.2,17.3,6.9,13.3,1.3,3.9,4.8,6.4,1.0,3.8,4.8,7.4,1.0,0.3,3.3,1.5,22.4,.472,.517,.321,.753,.557,.509,G,MEM,moranja01
299,Samuel Dalembert,19.6,2009-10,2014-15,28-33,386,283,0,21.8,3.0,5.8,3.0,5.8,0.0,0.0,1.2,1.6,2.5,5.0,7.5,0.7,0.5,1.5,1.3,2.6,7.2,.517,.518,.200,.739,.552,.517,C,DALHOUMILNYKPHISAC,dalemsa01
300,Omri Casspi,19.6,2009-10,2018-19,21-30,588,145,0,20.3,2.9,6.4,2.1,4.2,0.8,2.3,1.2,1.8,0.8,3.2,4.0,1.1,0.6,0.2,1.0,1.6,7.9,.454,.502,.368,.678,.547,.520,F,CLEGSWHOUMEMMINNOPSAC,casspom01
301,Shane Battier,19.5,2009-10,2013-14,31-35,359,207,0,25.9,2.2,5.3,0.8,1.8,1.3,3.5,0.6,0.8,0.8,2.4,3.2,1.6,0.8,0.8,0.7,1.9,6.2,.412,.481,.378,.710,.555,.538,F,HOUMEMMIA,battish01
302,D'Angelo Russell,19.5,2015-16,2022-23,19-26,495,431,1,29.9,6.4,15.0,3.9,8.1,2.5,6.9,2.4,3.1,0.5,3.0,3.5,5.7,1.1,0.3,2.8,1.9,17.7,.426,.480,.362,.788,.541,.509,G,BRKGSWLALMIN,russeda01
303,Jaren Jackson Jr.,19.4,2018-19,2022-23,19-23,267,258,1,27.4,5.8,12.5,4.2,7.8,1.7,4.7,3.2,4.0,1.4,4.1,5.5,1.1,0.9,2.1,1.7,3.7,16.4,.466,.535,.352,.790,.578,.532,F,MEM,jacksja02
304,Matt Bonner,19.2,2009-10,2015-16,29-35,427,36,0,15.6,1.9,4.2,0.8,1.6,1.1,2.6,0.3,0.4,0.5,2.0,2.5,0.7,0.3,0.3,0.3,1.2,5.1,.451,.502,.419,.756,.591,.579,F,SAS,bonnema01
305,Kelly Oubre Jr.,19.2,2015-16,2022-23,20-27,527,202,0,25.8,4.6,10.6,3.1,5.9,1.5,4.7,2.1,2.7,1.0,3.4,4.4,1.0,1.0,0.5,1.1,2.6,12.8,.434,.516,.330,.751,.542,.506,F,CHOGSWPHOWAS,oubreke01
306,Emeka Okafor,19.1,2009-10,2017-18,27-35,286,277,0,27.4,4.0,7.6,4.0,7.6,0.0,0.0,1.6,2.9,2.8,5.8,8.6,0.8,0.6,1.3,1.4,2.4,9.6,.523,.523,.000,.567,.540,.523,C-F,NOHNOPWAS,okafoem01
307,Mike Muscala,19.1,2013-14,2022-23,22-31,495,39,0,15.4,2.2,4.8,1.2,2.2,1.0,2.6,0.8,0.9,0.8,2.4,3.2,0.9,0.3,0.5,0.6,1.5,6.2,.457,.549,.379,.838,.590,.560,F-C,ATLBOSLALOKCPHI,muscami01
308,DeJuan Blair,19.0,2009-10,2015-16,20-26,424,179,0,16.6,2.9,5.6,2.9,5.6,0.0,0.0,0.9,1.5,1.9,3.2,5.1,0.8,0.7,0.3,1.1,2.4,6.8,.524,.526,.000,.608,.541,.524,F-C,DALSASWAS,blairde01
309,Martell Webster,19.0,2009-10,2014-15,23-28,361,151,0,24.8,3.0,7.1,1.6,3.5,1.4,3.6,1.7,2.0,0.6,2.5,3.2,1.1,0.6,0.3,0.9,1.9,9.1,.423,.460,.388,.813,.568,.523,G-F,MINPORWAS,webstma02
310,Bogdan Bogdanović,19.0,2017-18,2022-23,25-30,370,161,0,28.5,5.2,11.8,2.8,5.6,2.4,6.2,1.4,1.7,0.5,2.9,3.4,3.3,1.0,0.2,1.4,2.1,14.2,.440,.499,.387,.823,.565,.542,G,ATLSAC,bogdabo01
311,Christian Wood,18.9,2015-16,2022-23,20-27,289,139,0,24.2,5.4,10.3,4.0,6.9,1.3,3.5,2.7,4.0,1.5,5.9,7.3,1.5,0.6,0.9,1.5,2.0,14.8,.518,.588,.379,.693,.611,.582,F,CHODALDETHOUMILNOPPHI,woodch01
312,Nikola Peković,18.8,2010-11,2015-16,25-30,271,194,0,24.9,4.8,9.4,4.8,9.4,0.0,0.0,2.9,3.8,3.0,3.7,6.7,0.7,0.5,0.6,1.5,2.3,12.6,.518,.518,,.760,.570,.518,C,MIN,pekovni01
313,Tony Snell,18.5,2013-14,2021-22,22-30,601,310,0,21.8,2.2,5.2,1.0,2.1,1.2,3.1,0.5,0.5,0.3,2.0,2.3,1.1,0.4,0.2,0.5,1.4,6.1,.431,.486,.394,.846,.567,.549,G-F,ATLCHIDETMILNOPPOR,snellto01
314,Luke Ridnour,18.5,2009-10,2014-15,28-33,396,215,0,25.2,3.7,8.2,2.9,5.9,0.8,2.3,1.3,1.5,0.4,1.8,2.2,3.9,0.8,0.2,1.5,2.0,9.5,.451,.487,.358,.870,.538,.501,G,CHAMILMINORL,ridnolu01
315,O.J. Mayo,18.5,2009-10,2015-16,22-28,465,243,0,29.7,4.8,11.3,3.3,7.2,1.5,4.1,1.8,2.3,0.5,2.5,3.0,2.9,1.0,0.3,1.9,2.2,13.0,.427,.458,.371,.805,.528,.494,G,DALMEMMIL,mayooj01
316,Jerryd Bayless,18.4,2009-10,2018-19,21-30,533,99,0,22.2,3.1,7.5,2.2,4.9,0.9,2.5,1.7,2.0,0.3,1.9,2.2,3.0,0.7,0.1,1.4,2.1,8.8,.413,.439,.363,.819,.524,.475,G,BOSMEMMILMINNOHPHIPORTOR,bayleje01
317,Maxi Kleber,18.3,2017-18,2022-23,26-31,363,141,0,22.9,2.5,5.5,1.2,2.1,1.2,3.4,0.8,1.0,1.2,3.5,4.7,1.1,0.4,0.9,0.7,2.1,7.0,.447,.592,.358,.787,.583,.558,F,DAL,klebima01
318,Gerald Henderson,18.3,2009-10,2016-17,22-29,535,333,0,25.9,4.2,9.6,3.7,8.1,0.5,1.4,2.3,2.9,0.6,2.6,3.2,1.9,0.7,0.3,1.2,1.7,11.2,.440,.460,.327,.793,.516,.464,G,CHACHOPHIPOR,hendege02
319,Tyrese Haliburton,18.2,2020-21,2022-23,20-22,191,153,1,33.1,5.9,12.4,3.6,6.7,2.3,5.7,2.0,2.3,0.7,2.9,3.6,8.0,1.6,0.5,2.3,1.4,16.2,.479,.539,.408,.857,.603,.572,G,INDSAC,halibty01
320,Wendell Carter Jr.,18.1,2018-19,2022-23,19-23,260,246,0,28.0,4.9,9.5,4.2,7.4,0.7,2.1,2.4,3.3,2.4,6.5,8.8,2.1,0.6,0.8,1.7,3.0,12.9,.516,.572,.321,.733,.589,.552,C,CHIORL,cartewe01
321,Dario Šarić,18.1,2016-17,2022-23,22-28,413,217,0,23.7,3.9,8.9,2.6,5.1,1.3,3.7,1.8,2.1,1.4,4.1,5.6,1.9,0.6,0.2,1.5,2.1,11.0,.443,.503,.360,.838,.560,.518,F-C,MINOKCPHIPHO,saricda01
322,Jason Richardson,18.1,2009-10,2014-15,29-34,265,258,0,30.7,5.2,11.9,3.2,6.6,2.0,5.4,1.2,1.8,0.8,3.4,4.2,1.8,1.0,0.3,1.1,1.9,13.7,.438,.487,.378,.707,.540,.522,G,ORLPHIPHO,richaja01
323,Josh McRoberts,18.0,2009-10,2017-18,22-30,392,179,0,20.3,2.2,4.8,1.7,3.4,0.5,1.4,0.8,1.1,1.1,3.0,4.1,2.3,0.5,0.5,0.9,2.0,5.7,.465,.515,.347,.704,.542,.517,F-C,CHADALINDLALMIAORL,mcrobjo01
324,Tomáš Satoranský,17.9,2016-17,2021-22,25-30,388,182,0,22.2,2.6,5.5,2.0,3.8,0.6,1.7,1.1,1.4,0.8,2.1,2.9,4.1,0.8,0.2,1.3,1.7,6.9,.468,.520,.354,.820,.564,.523,G,CHINOPSASWAS,satorto01
325,Kyle O'Quinn,17.8,2012-13,2019-20,22-29,472,65,0,14.2,2.3,4.4,2.2,4.1,0.1,0.3,0.8,1.1,1.3,3.3,4.6,1.4,0.4,1.0,1.0,2.0,5.4,.517,.539,.218,.740,.554,.524,F-C,INDNYKORLPHI,oquinky01
326,Dāvis Bertāns,17.8,2016-17,2022-23,24-30,432,40,0,18.2,2.5,6.0,0.7,1.3,1.9,4.7,0.9,1.0,0.3,2.2,2.5,1.0,0.4,0.4,0.5,1.7,7.8,.425,.526,.398,.860,.609,.582,F,DALSASWAS,bertada01
327,Timofey Mozgov,17.7,2010-11,2017-18,24-31,454,273,0,18.0,2.7,5.1,2.7,4.9,0.0,0.1,1.3,1.8,1.7,3.2,4.9,0.6,0.3,0.8,1.2,2.2,6.8,.535,.543,.190,.738,.578,.537,C,BRKCLEDENLALNYK,mozgoti01
328,Andrei Kirilenko,17.7,2009-10,2014-15,28-33,238,165,0,27.8,3.6,7.3,3.2,6.0,0.4,1.3,2.7,3.7,1.4,3.2,4.7,2.5,1.3,0.9,1.6,1.5,10.3,.493,.532,.314,.723,.576,.521,F,BRKMINUTA,kirilan01
329,Mo Williams,17.7,2009-10,2015-16,27-33,408,218,0,28.4,4.7,11.2,3.1,7.1,1.5,4.1,1.8,2.1,0.4,2.0,2.4,5.0,0.8,0.2,2.3,2.3,12.8,.419,.445,.373,.879,.527,.488,G,CHOCLELACMINPORUTA,willima01
330,Luke Kennard,17.6,2017-18,2022-23,21-26,356,88,0,23.3,3.5,7.8,1.6,3.4,1.9,4.4,0.9,1.0,0.3,2.6,2.8,1.9,0.5,0.1,0.9,1.5,9.9,.455,.479,.437,.877,.601,.579,G,DETLACMEM,kennalu01
331,Lance Stephenson,17.5,2010-11,2021-22,20-31,554,200,0,22.9,3.4,7.7,2.7,5.5,0.7,2.1,1.1,1.5,0.6,3.4,4.1,2.9,0.6,0.1,1.6,2.0,8.6,.445,.496,.314,.694,.513,.489,G-F,ATLCHOINDLACLALMEMMINNOP,stephla01
332,Rodney Hood,17.4,2014-15,2021-22,22-29,448,253,0,24.5,3.8,9.0,2.3,5.0,1.4,4.0,1.4,1.7,0.4,2.2,2.6,1.6,0.7,0.2,1.0,1.9,10.4,.420,.462,.366,.841,.535,.500,G-F,CLELACMILPORTORUTA,hoodro01
333,Daniel Gafford,17.4,2019-20,2022-23,21-24,247,118,0,18.0,3.3,4.7,3.3,4.7,0.0,0.0,1.4,2.1,1.9,2.9,4.8,0.8,0.4,1.3,0.9,2.2,8.0,.706,.706,.000,.665,.714,.706,C-F,CHIWAS,gaffoda01
334,Kirk Hinrich,17.3,2009-10,2015-16,29-35,439,285,0,27.3,3.0,7.3,1.9,4.5,1.1,2.9,1.0,1.3,0.3,2.2,2.5,3.6,0.9,0.3,1.4,2.5,8.0,.404,.426,.369,.770,.504,.476,G,ATLCHIWAS,hinriki01
335,Avery Bradley,17.2,2010-11,2021-22,20-31,660,544,0,27.5,4.4,10.2,3.1,6.6,1.3,3.6,0.9,1.1,0.6,2.2,2.8,1.7,1.0,0.2,1.3,2.2,11.0,.434,.471,.365,.783,.516,.498,G,BOSDETHOULACLALMEMMIA,bradlav01
336,Tyler Zeller,17.1,2012-13,2019-20,23-30,414,166,0,17.5,2.8,5.5,2.8,5.4,0.0,0.1,1.3,1.7,1.5,2.9,4.4,0.9,0.3,0.6,0.8,2.2,6.9,.508,.512,.286,.764,.553,.511,F-C,ATLBOSBRKCLEMEMMILSAS,zellety01
337,Randy Foye,17.0,2009-10,2016-17,26-33,561,329,0,24.3,3.2,8.2,1.7,4.0,1.5,4.2,1.4,1.6,0.3,1.7,2.0,2.5,0.7,0.3,1.3,2.0,9.4,.391,.421,.364,.856,.524,.485,G,BRKDENLACOKCUTAWAS,foyera01
338,Nick Young,17.0,2009-10,2018-19,24-33,563,194,0,23.8,4.2,10.1,2.5,5.7,1.7,4.4,2.0,2.3,0.4,1.7,2.1,0.9,0.6,0.2,0.9,1.9,12.0,.413,.441,.377,.835,.538,.496,G-F,DENGSWLACLALPHIWAS,youngni01
339,Trey Lyles,17.0,2015-16,2022-23,20-27,523,126,0,18.1,2.8,6.4,1.9,3.7,0.9,2.7,1.2,1.6,0.8,3.5,4.3,1.0,0.4,0.4,0.8,1.4,7.8,.443,.517,.342,.749,.549,.515,F,DENDETSACSASUTA,lylestr01
340,Bruce Brown,17.0,2018-19,2022-23,22-26,349,212,0,24.6,3.4,7.0,2.8,5.3,0.6,1.7,1.2,1.7,1.1,3.1,4.2,2.4,0.9,0.6,1.1,2.4,8.5,.482,.528,.341,.749,.555,.524,G-F,BRKDENDET,brownbr01
341,Metta World Peace,17.0,2009-10,2016-17,30-37,387,278,0,26.9,3.1,7.9,2.0,4.6,1.1,3.4,1.2,1.8,1.1,2.4,3.5,1.9,1.2,0.4,1.1,2.1,8.6,.394,.439,.335,.683,.494,.466,F,LALNYK,artesro01
342,Justin Holiday,16.9,2012-13,2022-23,23-33,622,287,0,23.9,2.9,7.4,1.3,2.8,1.6,4.5,0.9,1.1,0.4,2.5,2.8,1.4,0.9,0.4,0.9,1.6,8.4,.397,.453,.363,.817,.534,.509,F,ATLCHIDALGSWINDMEMNYKPHISAC,holidju01
343,Mike Scott,16.8,2012-13,2020-21,24-32,555,34,0,16.5,2.6,5.7,1.7,3.2,0.9,2.5,0.7,0.9,0.7,2.4,3.1,0.9,0.3,0.1,0.6,1.5,6.7,.453,.521,.362,.757,.552,.531,F,ATLLACPHIWAS,scottmi01
344,Gerald Green,16.7,2011-12,2018-19,26-33,477,77,0,21.2,3.8,9.1,2.0,4.3,1.7,4.8,1.3,1.6,0.4,2.2,2.7,0.9,0.6,0.3,1.1,1.9,10.6,.416,.479,.361,.821,.541,.512,G-F,BOSHOUINDMIANJNPHO,greenge01
345,Tayshaun Prince,16.6,2009-10,2015-16,29-35,483,407,0,28.5,4.0,8.9,3.6,7.9,0.4,1.1,1.0,1.4,0.8,2.9,3.8,2.1,0.5,0.3,0.8,1.1,9.4,.446,.458,.362,.716,.490,.468,F,BOSDETMEMMIN,princta01
346,Udonis Haslem,16.6,2009-10,2022-23,29-42,440,115,0,18.0,2.0,4.4,2.0,4.2,0.0,0.1,0.9,1.2,1.3,3.8,5.1,0.5,0.3,0.2,0.6,1.8,5.0,.467,.477,.155,.741,.509,.469,F-C,MIA,hasleud01
347,Tyler Johnson,16.5,2014-15,2021-22,22-29,354,78,0,24.6,3.5,8.3,2.3,4.8,1.2,3.4,1.5,2.0,0.5,2.5,3.0,2.3,0.8,0.4,1.1,1.8,9.8,.426,.473,.360,.779,.537,.501,G,BRKMIAPHIPHOSAS,johnsty01
348,Garrett Temple,16.5,2009-10,2022-23,23-36,716,288,0,20.9,2.2,5.5,1.2,2.7,1.0,2.8,0.8,1.1,0.4,1.9,2.3,1.7,0.8,0.3,0.9,1.8,6.2,.402,.463,.345,.740,.518,.491,G,BRKCHACHIHOULACMEMMILNOPSACSASWAS,templga01
349,Jordan Hill,16.4,2009-10,2016-17,22-29,409,120,0,18.8,3.3,6.7,3.3,6.6,0.0,0.1,1.3,1.8,2.1,3.7,5.8,0.8,0.4,0.7,1.0,2.1,7.9,.497,.499,.136,.699,.529,.497,C-F,HOUINDLALMINNYK,hilljo01
350,Caris LeVert,16.3,2016-17,2022-23,22-28,392,210,0,28.1,5.3,12.1,3.8,7.9,1.4,4.2,2.2,2.9,0.7,3.1,3.8,3.9,1.1,0.3,1.8,2.1,14.1,.436,.485,.344,.735,.528,.496,G-F,BRKCLEIND,leverca01
351,Willy Hernangómez,16.3,2016-17,2022-23,22-28,344,48,0,15.0,2.8,5.3,2.7,5.0,0.1,0.4,1.6,2.2,2.1,3.7,5.8,1.1,0.4,0.4,1.0,1.7,7.3,.533,.549,.306,.713,.584,.543,C,CHONOPNYK,hernawi01
352,James Ennis III,16.2,2014-15,2021-22,24-31,395,140,0,20.3,2.3,5.0,1.5,2.8,0.8,2.2,1.3,1.6,1.0,2.3,3.3,0.9,0.6,0.3,0.8,2.0,6.7,.457,.534,.360,.797,.582,.537,F,BRKDENDETHOULACMEMMIANOPORLPHI,ennisja01
353,Miles Bridges,16.0,2018-19,2021-22,20-23,291,188,0,29.1,5.0,10.7,3.5,6.3,1.5,4.3,1.8,2.2,1.1,4.5,5.6,2.3,0.7,0.7,1.4,2.0,13.4,.473,.559,.346,.809,.575,.543,G-F,CHO,bridgmi02
354,Desmond Bane,16.0,2020-21,2022-23,22-24,202,151,0,27.9,5.9,12.6,3.4,6.6,2.5,5.9,1.8,2.0,0.6,3.5,4.1,2.9,0.9,0.3,1.5,2.3,16.1,.469,.509,.425,.883,.599,.570,G,MEM,banede01
355,Frank Kaminsky,15.9,2015-16,2022-23,22-29,413,49,0,19.8,3.2,7.3,2.1,4.4,1.0,3.0,1.4,1.9,0.7,3.1,3.8,1.6,0.4,0.4,0.8,1.5,8.8,.430,.486,.349,.746,.537,.501,F-C,ATLCHOHOUPHO,kaminfr01
356,Derrick Jones Jr.,15.9,2016-17,2022-23,19-25,344,97,0,18.7,2.3,4.6,1.9,3.0,0.5,1.5,1.1,1.6,1.2,2.0,3.2,0.7,0.6,0.7,0.5,1.9,6.3,.508,.610,.304,.705,.591,.559,F,CHIMIAPHOPOR,jonesde02
357,Antawn Jamison,15.8,2009-10,2013-14,33-37,285,173,0,29.1,5.5,12.7,4.2,9.0,1.3,3.7,2.3,3.4,1.6,4.5,6.2,1.3,0.7,0.4,1.1,2.2,14.6,.433,.470,.342,.685,.514,.483,F,CLELACLALWAS,jamisan01
358,Meyers Leonard,15.8,2012-13,2022-23,20-30,456,95,0,15.9,2.1,4.4,1.4,2.5,0.7,1.9,0.6,0.7,0.7,3.2,3.9,0.9,0.2,0.3,0.7,2.2,5.6,.482,.550,.390,.812,.589,.565,C-F,MIAMILPOR,leoname01
359,Elfrid Payton,15.8,2014-15,2021-22,20-27,500,395,0,26.8,4.2,9.3,3.8,8.0,0.4,1.3,1.3,2.2,1.0,3.0,4.0,5.7,1.2,0.3,2.2,2.0,10.1,.447,.474,.287,.623,.490,.467,G,NOPNYKORLPHO,paytoel01
360,Thomas Bryant,15.7,2017-18,2022-23,20-25,229,134,0,19.7,4.0,6.8,3.5,5.4,0.5,1.4,1.5,2.0,1.5,4.2,5.7,1.1,0.3,0.8,0.8,1.8,10.1,.598,.659,.366,.757,.661,.636,C,DENLALWAS,bryanth01
361,Jared Sullinger,15.3,2012-13,2016-17,20-24,269,172,0,24.3,4.4,10.0,3.8,8.1,0.5,1.9,1.5,2.1,2.5,4.9,7.5,1.8,0.7,0.6,1.2,2.9,10.8,.436,.476,.272,.723,.493,.463,F,BOSTOR,sullija01
362,John Salmons,15.2,2009-10,2014-15,30-35,375,238,0,29.1,3.6,8.8,2.6,5.9,1.1,2.9,1.6,2.0,0.4,2.5,2.8,2.5,0.8,0.3,1.2,1.8,9.9,.412,.433,.369,.799,.512,.473,G,CHIMILNOPSACTOR,salmojo01
363,Austin Rivers,15.2,2012-13,2022-23,20-30,707,184,0,23.8,3.1,7.5,2.0,4.3,1.1,3.2,1.1,1.7,0.3,1.7,2.0,2.1,0.7,0.2,1.0,2.1,8.5,.419,.470,.349,.653,.516,.493,G,DENHOULACMINNOHNOPNYKWAS,riverau01
