,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,,,-additional
Rk,Player,WS,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
21,Kevin Love,85.9,2009-10,2022-23,21-34,793,642,5,30.6,5.7,13.1,3.8,7.8,2.0,5.3,4.1,4.9,2.3,8.2,10.5,2.5,0.6,0.4,1.9,1.9,17.5,.437,.482,.371,.833,.574,.512,F-C,CLEMIAMIN,loveke01
22,Paul George,81.2,2010-11,2022-23,20-32,793,745,8,33.6,7.0,16.1,4.5,9.4,2.5,6.6,4.0,4.8,0.9,5.5,6.4,3.7,1.7,0.4,2.7,2.7,20.6,.437,.477,.381,.850,.568,.516,F-G,INDLACOKC,georgpa01
23,Blake Griffin,81.1,2010-11,2022-23,21-33,765,692,6,31.9,7.1,14.4,6.4,12.2,0.7,2.1,4.1,5.9,1.9,6.0,8.0,4.0,0.8,0.5,2.3,2.7,19.0,.493,.522,.328,.696,.559,.518,F-C,BOSBRKDETLAC,griffbl01
24,Kyrie Irving,79.3,2011-12,2022-23,19-30,671,671,8,34.3,8.6,18.2,6.3,12.3,2.3,5.9,3.9,4.4,0.8,3.1,3.9,5.7,1.3,0.4,2.6,2.3,23.4,.472,.511,.391,.885,.581,.536,G,BOSBRKCLEDAL,irvinky01
25,Marc Gasol,78.9,2009-10,2020-21,25-36,809,791,3,32.4,5.3,11.1,4.8,9.6,0.5,1.5,3.1,4.0,1.5,5.9,7.4,3.5,0.9,1.4,2.0,2.8,14.3,.477,.495,.360,.781,.554,.501,C,LALMEMTOR,gasolma01
26,Paul Millsap,77.7,2009-10,2021-22,24-36,845,705,4,29.6,5.4,11.3,4.8,9.4,0.6,1.9,3.0,4.1,2.1,5.2,7.3,2.5,1.3,1.0,1.8,2.9,14.5,.483,.511,.342,.748,.558,.511,F,ATLBRKDENPHIUTA,millspa01
27,Brook Lopez,73.6,2009-10,2022-23,21-34,864,831,1,30.2,6.3,12.8,5.4,10.2,0.9,2.6,3.1,3.9,2.0,4.1,6.1,1.5,0.6,1.8,1.7,2.6,16.7,.494,.532,.346,.796,.574,.530,C,BRKLALMILNJN,lopezbr01
28,Jonas Valančiūnas,73.2,2012-13,2022-23,20-30,774,745,0,26.0,5.4,9.6,5.1,8.9,0.2,0.7,2.5,3.2,2.8,6.7,9.5,1.2,0.4,1.0,1.7,2.9,13.5,.561,.577,.357,.789,.615,.574,C,MEMNOPTOR,valanjo01
29,Serge Ibaka,73.0,2009-10,2022-23,20-33,919,697,0,27.3,5.0,9.7,4.3,7.8,0.7,1.9,1.4,1.8,2.1,5.0,7.1,0.8,0.4,1.9,1.3,2.7,12.0,.513,.550,.359,.757,.571,.548,F-C,LACMILOKCORLTOR,ibakase01
30,Pau Gasol,71.7,2009-10,2018-19,29-38,642,572,4,31.4,6.0,12.2,5.8,11.5,0.3,0.6,3.1,4.0,2.4,7.3,9.7,3.2,0.5,1.5,1.9,2.0,15.4,.495,.500,.394,.775,.553,.505,C-F,CHILALMILSAS,gasolpa01
