,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,,,-additional
Rk,Player,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
20,D.J. Wilson,MIL,1,17,2017,Michigan,2014-15,2016-17,69,36,19.4,2.8,5.3,2.1,3.3,0.7,2.0,0.8,1.0,0.9,2.4,3.3,0.8,0.4,1.0,0.8,1.4,7.1,.525,.619,.363,.817,.614,.592,F,Michigan,dj-wilson-1
21,Zion Williamson,NOH,1,1,2019,Duke,2018-19,2018-19,33,33,30.0,9.0,13.2,8.2,11.0,0.7,2.2,3.9,6.2,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6,.680,.747,.338,.640,.702,.708,F,Duke,zion-williamson-1
22,Nigel Williams-Goss,UTA,2,55,2017,Gonzaga,2013-14,2016-17,100,100,34.2,5.7,12.4,4.8,9.4,1.0,2.9,2.9,3.6,0.7,4.4,5.1,5.0,1.3,0.1,2.6,1.9,15.4,.464,.506,.331,.806,.546,.504,G,GonzagaWashington,nigel-williams-goss-1
23,Ziaire Williams,NOH,1,10,2021,Stanford,2020-21,2020-21,20,14,27.9,3.8,10.2,2.7,6.2,1.2,4.0,2.0,2.5,0.5,4.1,4.6,2.2,0.9,0.6,2.9,2.4,10.7,.374,.427,.291,.796,.473,.431,F,Stanford,ziaire-williams-1
24,Vince Williams Jr.,MEM,2,47,2022,VCU,2018-19,2021-22,110,54,23.4,2.7,6.2,1.6,3.2,1.1,3.0,2.1,2.7,1.0,3.4,4.4,1.9,1.2,0.5,1.9,2.3,8.6,.440,.507,.367,.773,.578,.528,G,VCU,vince-williams-2
25,Robert Williams,BOS,1,27,2018,Texas A&M,2016-17,2017-18,61,40,25.7,4.8,8.1,4.8,7.6,0.0,0.5,1.5,2.8,2.7,6.0,8.7,1.4,0.7,2.5,1.7,2.0,11.1,.591,.624,.067,.541,.590,.593,F,Texas A&M,robert-williams-3
26,Patrick Williams,CHI,1,4,2020,Florida State,2019-20,2019-20,29,0,22.5,3.3,7.1,2.7,5.4,0.6,1.7,2.1,2.6,1.3,2.7,4.0,1.0,1.0,1.0,1.7,1.6,9.2,.459,.503,.320,.838,.553,.498,F,Florida State,patrick-williams-2
27,Mark Williams,CHA,1,15,2022,Duke,2020-21,2021-22,62,54,20.5,4.2,6.0,4.2,6.0,0.0,0.0,1.3,1.9,2.3,4.0,6.3,0.8,0.5,2.3,0.9,1.8,9.7,.704,.706,.000,.661,.703,.704,C,Duke,mark-williams-7
28,Jordan Williams,NJN,2,36,2011,Maryland,2009-10,2010-11,66,64,28.6,5.1,9.7,5.1,9.7,0.0,0.0,3.0,5.3,3.3,6.9,10.2,0.4,0.7,1.2,1.3,2.6,13.2,.528,.528,,.559,.540,.528,F,Maryland,jordan-williams-1
29,Jaylin Williams,OKC,2,34,2022,Arkansas,2020-21,2021-22,63,40,25.2,2.8,6.0,2.4,4.5,0.4,1.5,2.0,2.7,1.3,6.3,7.7,1.8,1.0,0.9,1.4,2.3,7.9,.464,.534,.255,.731,.544,.496,F,Arkansas,jaylin-williams-2
