,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,,,-additional
Rk,Player,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
87,Marcus Thornton,BOS,2,45,2015,William & Mary,2011-12,2014-15,127,107,34.1,5.6,13.0,3.0,6.6,2.6,6.4,3.4,4.3,0.3,2.2,2.6,2.4,0.7,0.2,2.6,1.5,17.1,.430,.457,.402,.789,.570,.529,G,William & Mary,marcus-thornton-3
88,JT Thor,DET,2,37,2021,Auburn,2020-21,2020-21,27,27,23.0,3.1,7.1,2.3,4.3,0.8,2.7,2.3,3.1,1.6,3.4,5.0,0.9,0.8,1.4,1.6,2.0,9.4,.440,.530,.297,.741,.547,.497,F,Auburn,jt-thor-1
89,Tristan Thompson,CLE,1,4,2011,Texas,2010-11,2010-11,36,34,30.7,4.8,8.8,4.8,8.8,0.0,0.0,3.5,7.3,3.8,4.0,7.8,1.3,0.9,2.4,1.8,2.8,13.1,.546,.546,,.487,.536,.546,F,Texas,tristan-thompson-2
90,Klay Thompson,GSW,1,11,2011,Washington State,2009-10,2010-11,65,63,35.0,6.8,15.9,4.1,8.9,2.7,7.0,4.4,5.4,1.0,4.2,5.2,3.0,1.5,0.8,3.4,2.7,20.6,.425,.458,.382,.821,.558,.509,G,Washington State,klay-thompson-1
91,Trey Thompkins III,LAC,2,37,2011,Georgia,2009-10,2010-11,61,58,31.1,6.6,13.6,5.8,11.4,0.8,2.2,3.2,4.4,2.0,6.0,8.0,1.7,1.0,1.4,2.7,2.4,17.1,.482,.509,.341,.729,.544,.510,F,Georgia,trey-thompkins-1
92,Khyri Thomas,PHI,2,38,2018,Creighton,2015-16,2017-18,102,95,27.2,4.2,8.2,2.9,5.1,1.3,3.2,1.5,2.1,1.1,3.5,4.6,2.5,1.4,0.3,1.6,1.8,11.2,.511,.578,.406,.719,.607,.589,G,Creighton,khyri-thomas-1
93,Isaiah Thomas,SAC,2,60,2011,Washington,2009-10,2010-11,70,70,31.5,5.3,12.4,3.6,7.1,1.8,5.3,4.4,6.0,0.7,3.1,3.7,4.6,1.2,0.1,2.7,2.0,16.9,.430,.499,.337,.726,.551,.502,G,Washington,isaiah-thomas-1
94,Deshaun Thomas,SAS,2,58,2013,Ohio State,2010-11,2012-13,113,77,27.0,5.4,11.2,4.1,7.5,1.3,3.7,2.4,3.0,2.0,3.0,5.0,0.9,0.4,0.2,1.1,1.4,14.4,.478,.545,.342,.802,.569,.535,F,Ohio State,deshaun-thomas-1
95,Cameron Thomas,NJN,1,27,2021,Louisiana State,2020-21,2020-21,29,29,34.0,7.0,17.2,4.7,10.0,2.3,7.2,6.7,7.6,0.6,2.8,3.4,1.4,0.9,0.2,1.7,1.4,23.0,.406,.464,.325,.882,.553,.474,G,Louisiana State,cameron-thomas-1
96,Xavier Thames,TOR,2,59,2014,San Diego State,2009-10,2013-14,128,95,28.0,3.3,8.4,2.4,5.7,1.0,2.8,3.1,3.8,0.5,2.1,2.6,2.8,1.1,0.2,1.6,1.9,10.7,.395,.418,.348,.814,.524,.452,G,San Diego StateWashington State,xavier-thames-1
97,Tyrell Terry,DAL,2,31,2020,Stanford,2019-20,2019-20,31,31,32.6,4.7,10.7,2.7,5.8,2.0,4.9,3.2,3.5,0.4,4.1,4.5,3.2,1.4,0.1,2.6,2.1,14.6,.441,.470,.408,.891,.589,.535,G,Stanford,tyrell-terry-1
98,Dalen Terry,CHI,1,18,2022,Arizona,2020-21,2021-22,63,51,24.9,2.4,5.1,1.8,3.2,0.7,1.9,1.0,1.5,1.0,3.2,4.2,2.9,1.0,0.3,1.3,2.3,6.6,.477,.552,.350,.680,.564,.542,G,Arizona,dalen-terry-1
99,Marquis Teague,CHI,1,29,2012,Kentucky,2011-12,2011-12,40,40,32.6,3.6,8.8,3.0,6.8,0.7,2.0,2.1,3.0,0.4,2.1,2.5,4.8,0.9,0.3,2.7,2.3,10.0,.412,.438,.325,.714,.491,.449,G,Kentucky,marquis-teague-1
100,Tyshawn Taylor,POR,2,41,2012,Kansas,2009-10,2011-12,111,93,28.0,3.9,8.3,3.0,6.0,0.9,2.3,2.5,3.6,0.3,1.9,2.2,4.2,1.2,0.2,2.7,2.0,11.2,.469,.507,.372,.703,.559,.521,G,Kansas,tyshawn-taylor-1
101,Jeffery Taylor,CHA,2,31,2012,Vanderbilt,2009-10,2011-12,103,102,30.3,5.1,10.7,4.1,8.0,1.0,2.7,3.5,5.0,1.9,3.5,5.4,1.9,1.1,0.5,2.3,2.3,14.8,.478,.511,.379,.694,.563,.526,F,Vanderbilt,jeffery-taylor-1
102,Jayson Tatum,BOS,1,3,2017,Duke,2016-17,2016-17,29,27,33.3,5.7,12.6,4.3,8.6,1.4,4.0,4.1,4.8,1.3,6.0,7.3,2.1,1.3,1.1,2.6,3.0,16.8,.452,.504,.342,.849,.566,.507,F,Duke,jayson-tatum-1
103,Caleb Swanigan,POR,1,26,2017,Purdue,2015-16,2016-17,69,69,29.2,5.1,10.2,4.2,7.9,0.9,2.3,3.3,4.4,2.2,8.2,10.4,2.4,0.4,0.5,3.0,2.5,14.4,.501,.537,.376,.760,.586,.543,F,Purdue,caleb-swanigan-1
104,Edmond Sumner,NOH,2,52,2017,Xavier,2014-15,2016-17,58,49,26.6,3.5,8.2,2.9,6.0,0.6,2.2,3.7,5.1,0.5,3.0,3.5,3.8,1.2,0.4,2.2,2.3,11.4,.429,.483,.285,.730,.536,.468,G,Xavier,edmond-sumner-1
105,Jared Sullinger,BOS,1,21,2012,Ohio State,2010-11,2011-12,74,72,31.0,6.1,11.5,5.8,10.8,0.3,0.7,4.9,6.7,3.3,6.4,9.7,1.2,1.1,0.8,1.8,2.7,17.3,.530,.541,.365,.733,.591,.541,F,Ohio State,jared-sullinger-1
106,Jalen Suggs,ORL,1,5,2021,Gonzaga,2020-21,2020-21,30,30,28.9,5.2,10.3,4.0,6.8,1.2,3.5,2.9,3.8,0.6,4.7,5.3,4.5,1.9,0.3,2.9,2.6,14.4,.503,.588,.337,.754,.595,.560,G,Gonzaga,jalen-suggs-1
107,Julian Strawther,IND,1,29,2023,Gonzaga,2020-21,2022-23,94,68,23.4,3.8,7.8,2.3,3.9,1.5,4.0,1.9,2.5,0.8,3.8,4.6,0.9,0.6,0.2,1.0,1.7,10.9,.484,.586,.384,.745,.608,.581,G,Gonzaga,julian-strawther-1
108,Diamond Stone,NOH,2,40,2016,Maryland,2015-16,2015-16,35,22,23.1,4.8,8.4,4.8,8.4,0.0,0.0,2.9,3.8,2.2,3.2,5.4,0.4,0.5,1.6,1.5,2.3,12.5,.568,.568,,.761,.610,.568,C,Maryland,diamond-stone-1
109,Jarnell Stokes,UTA,2,35,2014,Tennessee,2011-12,2013-14,87,84,29.7,4.7,8.9,4.7,8.9,0.0,0.0,3.5,5.6,3.9,5.7,9.6,1.5,0.7,1.1,2.1,2.2,13.0,.530,.532,.000,.628,.560,.530,F,Tennessee,jarnell-stokes-1
110,Isaiah Stewart,POR,1,16,2020,Washington,2019-20,2019-20,32,32,32.2,6.0,10.5,5.8,9.9,0.2,0.6,4.8,6.2,2.8,6.0,8.8,0.8,0.5,2.1,2.2,2.6,17.0,.570,.590,.250,.774,.629,.577,F,Washington,isaiah-stewart-2
111,Lance Stephenson,IND,2,40,2010,Cincinnati,2009-10,2009-10,34,32,28.2,4.8,10.8,4.3,8.7,0.5,2.1,2.3,3.5,1.9,3.5,5.4,2.5,0.9,0.2,2.4,1.9,12.3,.440,.495,.219,.664,.493,.462,F,Cincinnati,lance-stephenson-1
112,Nik Stauskas,SAC,1,8,2014,Michigan,2012-13,2013-14,75,69,32.9,4.3,9.2,2.0,4.0,2.3,5.2,3.2,3.9,0.5,2.5,2.9,2.3,0.6,0.3,1.5,1.0,14.1,.467,.500,.441,.832,.638,.591,G,Michigan,nik-stauskas-1
113,Cassius Stanley,IND,2,54,2020,Duke,2019-20,2019-20,29,29,27.4,4.4,9.3,3.3,6.3,1.1,3.0,2.7,3.6,1.9,3.0,4.9,1.0,0.7,0.7,1.9,2.2,12.6,.474,.527,.360,.733,.569,.531,G,Duke,cassius-stanley-1
114,Jaden Springer,PHI,1,28,2021,Tennessee,2020-21,2020-21,25,15,25.9,4.2,9.1,3.4,7.2,0.8,1.8,3.2,4.0,1.0,2.5,3.5,2.9,1.2,0.4,2.4,2.0,12.5,.467,.475,.435,.810,.570,.511,G,Tennessee,jaden-springer-1
115,Omari Spellman,ATL,1,30,2018,Villanova,2017-18,2017-18,40,39,28.1,4.0,8.4,2.4,4.7,1.6,3.8,1.2,1.8,2.3,5.8,8.0,0.8,0.7,1.5,1.0,2.3,10.9,.476,.511,.433,.700,.588,.573,F,Villanova,omari-spellman-1
116,Raymond Spalding,PHI,2,56,2018,Louisville,2015-16,2017-18,100,48,21.7,3.3,6.0,3.3,5.7,0.1,0.3,1.4,2.5,2.3,4.0,6.3,0.9,1.0,1.1,1.3,2.6,8.1,.557,.571,.240,.579,.570,.562,F,Louisville,raymond-spalding-1
117,Jeremy Sochan,SAS,1,9,2022,Baylor,2021-22,2021-22,30,1,25.1,3.3,7.0,2.5,4.3,0.8,2.7,1.8,3.0,2.0,4.4,6.4,1.8,1.3,0.7,1.6,2.3,9.2,.474,.585,.296,.589,.546,.531,F,Baylor,jeremy-sochan-1
118,Tony Snell,CHI,1,20,2013,New Mexico,2010-11,2012-13,104,76,24.8,3.0,7.1,1.4,2.9,1.6,4.2,1.6,1.9,0.4,2.0,2.4,2.0,0.5,0.3,1.5,1.2,9.2,.421,.480,.380,.821,.571,.533,G,New Mexico,tony-snell-1
119,Zhaire Smith,PHO,1,16,2018,Texas Tech,2017-18,2017-18,37,21,28.4,4.2,7.5,3.7,6.4,0.5,1.1,2.5,3.4,2.2,2.8,5.0,1.8,1.1,1.1,1.1,1.8,11.3,.556,.574,.450,.717,.618,.588,G,Texas Tech,zhaire-smith-1
120,Russ Smith,PHI,2,47,2014,Louisville,2010-11,2013-14,133,80,24.3,4.7,11.3,3.3,7.4,1.4,3.9,3.7,4.8,0.7,2.0,2.7,2.8,1.9,0.1,2.4,2.4,14.3,.413,.449,.345,.760,.528,.473,G,Louisville,russ-smith-1
121,Nolan Smith,POR,1,21,2011,Duke,2009-10,2010-11,75,75,34.8,6.7,14.8,5.1,10.6,1.6,4.2,4.1,5.2,1.1,2.6,3.6,4.0,1.2,0.2,2.5,1.9,19.0,.450,.481,.370,.794,.550,.502,G,Duke,nolan-smith-1
122,Nick Smith Jr.,CHA,1,27,2023,Arkansas,2022-23,2022-23,17,14,25.8,4.5,11.9,3.1,7.7,1.4,4.2,2.2,2.9,0.2,1.4,1.6,1.7,0.8,0.1,1.6,1.5,12.5,.376,.397,.338,.740,.472,.436,G,Arkansas,nick-smith-jr-1
123,Jalen Smith,PHO,1,10,2020,Maryland,2018-19,2019-20,64,64,28.9,4.9,9.5,4.1,7.0,0.8,2.5,2.9,4.1,3.0,5.7,8.6,0.8,0.6,1.8,1.5,2.2,13.5,.516,.584,.323,.709,.590,.558,F,Maryland,jalen-smith-1
124,Jabari Smith,HOU,1,3,2022,Auburn,2021-22,2021-22,34,34,28.8,5.4,12.6,3.1,7.0,2.3,5.5,3.9,4.8,0.9,6.5,7.4,2.0,1.1,1.0,1.9,2.1,16.9,.429,.435,.420,.799,.570,.521,F,Auburn,jabari-smith-2
125,Dennis Smith Jr.,DAL,1,9,2017,NC State,2016-17,2016-17,32,32,34.8,6.0,13.1,4.3,8.3,1.7,4.8,4.5,6.3,0.8,3.8,4.6,6.2,1.9,0.4,3.4,2.1,18.1,.455,.509,.359,.715,.563,.520,G,NC State,dennis-smithjr-1
126,Marcus Smart,BOS,1,6,2014,Oklahoma State,2012-13,2013-14,64,63,33.1,4.9,11.9,3.5,7.3,1.4,4.6,5.5,7.3,1.5,4.4,5.9,4.5,2.9,0.6,3.0,2.9,16.6,.413,.488,.295,.751,.542,.470,G,Oklahoma State,marcus-smart-1
127,Jalen Slawson,SAC,2,54,2023,Furman,2018-19,2022-23,153,119,24.0,3.5,6.8,2.8,4.6,0.7,2.2,2.1,2.8,1.3,4.2,5.5,2.4,1.3,1.2,1.9,2.5,9.9,.519,.611,.329,.754,.610,.573,F,Furman,jalen-slawson-1
128,Peyton Siva,DET,2,56,2013,Louisville,2009-10,2012-13,144,113,26.2,2.9,6.9,2.2,4.5,0.7,2.4,2.0,2.8,0.3,2.1,2.4,4.7,1.8,0.1,2.7,2.6,8.4,.417,.482,.291,.737,.516,.467,G,Louisville,peyton-siva-1
129,Chris Singleton,WAS,1,18,2011,Florida State,2009-10,2010-11,60,57,30.3,4.0,9.5,2.9,6.0,1.2,3.6,2.4,4.0,2.1,4.8,6.9,1.7,2.1,1.5,2.6,3.1,11.6,.423,.479,.329,.585,.506,.484,F,Florida State,chris-singleton-1
130,Kyle Singler,DET,2,33,2011,Duke,2009-10,2010-11,77,77,35.4,5.8,13.8,3.9,8.5,1.9,5.3,3.8,4.7,2.3,4.6,6.9,2.0,1.0,0.6,1.9,2.4,17.3,.422,.459,.362,.802,.541,.492,F,Duke,kyle-singler-1
131,Jericho Sims,NYK,2,58,2021,Texas,2017-18,2020-21,119,77,20.5,2.7,4.3,2.7,4.3,0.0,0.0,1.2,2.2,1.8,3.6,5.4,0.4,0.4,0.8,1.2,2.2,6.6,.639,.640,.000,.524,.621,.639,F,Texas,jericho-sims-1
132,Ben Simmons,PHI,1,1,2016,Louisiana State,2015-16,2015-16,33,32,34.9,6.5,11.7,6.5,11.6,0.0,0.1,6.0,9.0,3.1,8.6,11.8,4.8,2.0,0.8,3.4,2.8,19.2,.560,.561,.333,.670,.600,.561,F,Louisiana State,ben-simmons-1
133,Pascal Siakam,TOR,1,27,2016,New Mexico State,2014-15,2015-16,68,61,32.7,6.5,11.8,6.4,11.5,0.0,0.3,3.5,5.0,3.6,6.1,9.7,1.5,0.9,2.0,1.9,2.6,16.6,.551,.559,.176,.711,.586,.553,F,New Mexico State,pascal-siakam-1
134,Iman Shumpert,NYK,1,17,2011,Georgia Tech,2009-10,2010-11,61,60,31.1,4.6,11.6,3.3,7.3,1.3,4.3,3.2,4.1,1.3,3.5,4.8,3.7,2.3,0.2,2.7,2.5,13.7,.398,.455,.302,.780,.507,.454,G,Georgia Tech,iman-shumpert-1
135,Ben Sheppard,IND,1,26,2023,Belmont,2019-20,2022-23,124,91,26.0,4.4,9.3,2.8,4.9,1.6,4.4,1.8,2.6,0.7,3.2,3.9,1.8,1.0,0.1,1.4,2.0,12.2,.475,.570,.370,.696,.583,.563,G,Belmont,ben-sheppard-1
136,Marial Shayok,PHI,2,54,2019,Iowa State,2014-15,2018-19,137,57,20.7,3.3,7.1,2.4,4.6,0.9,2.4,1.4,1.7,0.5,2.2,2.7,1.3,0.7,0.2,1.3,1.5,8.9,.470,.516,.381,.787,.565,.535,G,Iowa StateVirginia,marial-shayok-1
137,Day'Ron Sharpe,PHO,1,29,2021,North Carolina,2020-21,2020-21,29,4,19.2,3.9,7.4,3.9,7.4,0.0,0.1,1.8,3.5,3.3,4.2,7.6,1.4,0.8,0.9,2.0,2.0,9.5,.519,.523,.000,.505,.521,.519,F,North Carolina,dayron-sharpe-1
138,Landry Shamet,PHI,1,26,2018,Wichita State,2015-16,2017-18,71,68,28.6,4.2,8.7,1.9,3.6,2.2,5.1,2.3,2.8,0.5,2.5,3.0,4.1,0.8,0.2,1.5,2.1,12.9,.480,.542,.437,.811,.641,.609,G,Wichita State,landry-shamet-1
139,Collin Sexton,CLE,1,8,2018,Alabama,2017-18,2017-18,33,32,29.9,5.9,13.3,4.6,9.3,1.3,4.0,5.9,7.6,1.0,2.7,3.8,3.6,0.8,0.1,2.8,2.5,19.2,.447,.495,.336,.778,.567,.498,G,Alabama,collin-sexton-1
140,Brice Sensabaugh,UTA,1,28,2023,Ohio State,2022-23,2022-23,33,21,24.5,6.0,12.4,4.2,7.9,1.8,4.5,2.5,3.0,1.3,4.1,5.4,1.2,0.5,0.4,2.0,2.5,16.3,.480,.523,.405,.830,.587,.554,F,Ohio State,brice-sensabaugh-1
141,Josh Selby,MEM,2,49,2011,Kansas,2010-11,2010-11,26,11,20.4,2.8,7.4,1.5,3.8,1.3,3.6,1.1,1.4,0.4,1.8,2.2,2.2,0.8,0.0,2.0,1.7,7.9,.373,.384,.362,.757,.489,.461,G,Kansas,josh-selby-1
142,Mike Scott,ATL,2,43,2012,Virginia,2009-10,2011-12,70,66,30.1,5.9,11.1,5.7,10.7,0.1,0.4,3.4,4.2,2.5,5.7,8.1,1.3,0.6,0.4,2.0,1.8,15.3,.530,.537,.357,.803,.584,.537,F,Virginia,mike-scott-4
143,Admiral Schofield,PHI,2,42,2019,Tennessee,2015-16,2018-19,132,95,24.9,4.4,9.7,3.0,6.1,1.4,3.6,1.6,2.1,1.3,4.1,5.3,1.3,0.7,0.4,1.4,2.6,11.9,.458,.501,.387,.763,.556,.530,G,Tennessee,admiral-schofield-1
144,Marcus Sasser,MEM,1,25,2023,Houston,2019-20,2022-23,107,93,29.3,4.4,10.9,1.9,3.9,2.6,7.0,2.2,2.7,0.3,2.3,2.7,2.4,1.3,0.1,1.4,1.6,13.6,.406,.471,.369,.824,.560,.524,G,Houston,marcus-sasser-1
145,Larry Sanders,MIL,1,15,2010,VCU,2009-10,2009-10,35,32,26.9,5.6,10.5,5.5,10.0,0.1,0.5,3.1,4.8,3.0,6.1,9.1,1.0,0.7,2.6,1.7,2.9,14.4,.534,.547,.250,.641,.563,.540,F,VCU,larry-sanders-1
146,Robert Sacre,LAL,2,60,2012,Gonzaga,2009-10,2011-12,102,101,25.8,3.7,7.3,3.7,7.2,0.0,0.0,4.1,5.5,2.1,3.9,6.0,0.8,0.6,1.7,2.0,2.6,11.5,.507,.508,.250,.743,.580,.507,C,Gonzaga,robert-sacre-1
147,Domantas Sabonis,ORL,1,11,2016,Gonzaga,2014-15,2015-16,74,32,26.6,5.2,8.2,5.1,8.0,0.1,0.2,3.1,4.2,2.6,6.8,9.4,1.3,0.5,0.6,2.0,3.0,13.5,.632,.638,.357,.729,.662,.636,F,Gonzaga,domantas-sabonis-1
148,D'Angelo Russell,LAL,1,2,2015,Ohio State,2014-15,2014-15,35,34,33.9,6.6,14.7,3.9,8.1,2.7,6.6,3.4,4.5,1.0,4.7,5.7,5.0,1.6,0.3,2.9,2.1,19.3,.449,.479,.411,.756,.573,.541,G,Ohio State,dangelo-russell-1
149,Terry Rozier,BOS,1,16,2015,Louisville,2013-14,2014-15,73,45,26.8,4.2,10.3,3.1,6.8,1.2,3.5,2.4,3.1,1.0,3.3,4.3,2.4,1.5,0.1,1.4,1.6,12.0,.408,.447,.331,.772,.507,.463,G,Louisville,terry-rozier-1
150,Terrence Ross,TOR,1,8,2012,Washington,2010-11,2011-12,69,39,24.4,4.6,10.1,2.9,5.5,1.7,4.6,1.4,1.8,1.1,3.5,4.7,1.2,0.9,0.7,1.4,2.4,12.3,.453,.528,.364,.764,.557,.536,G,Washington,terrence-ross-1
151,Ryan Rollins,ATL,2,44,2022,Toledo,2020-21,2021-22,64,64,31.5,5.9,13.0,4.5,8.7,1.4,4.3,3.2,4.1,0.8,4.8,5.6,3.1,1.4,0.2,2.3,2.6,16.4,.453,.521,.317,.796,.548,.505,G,Toledo,ryan-rollins-1
152,Magnum Rolle,OKC,2,51,2010,Louisiana Tech,2009-10,2009-10,34,33,30.1,5.6,10.8,5.6,10.8,0.0,0.0,2.7,4.1,3.5,4.9,8.4,0.8,0.8,2.1,2.0,2.8,13.9,.514,.514,,.660,.541,.514,F,Louisiana Tech,magnum-rolle-1
153,David Roddy,PHI,1,23,2022,Colorado State,2019-20,2021-22,91,76,29.9,5.6,10.7,4.7,7.9,0.9,2.8,3.4,4.6,1.9,5.5,7.4,2.4,0.9,0.8,2.2,2.2,15.5,.522,.593,.319,.739,.600,.563,G,Colorado State,david-roddy-1
154,Isaiah Roby,DET,2,45,2019,Nebraska,2016-17,2018-19,97,52,23.9,2.9,6.1,2.4,4.6,0.5,1.5,1.8,2.6,1.6,3.9,5.5,1.5,0.8,1.6,1.6,2.8,8.1,.476,.523,.336,.702,.555,.518,F,Nebraska,isaiah-roby-1
155,Jeremiah Robinson-Earl,NYK,2,32,2021,Villanova,2019-20,2020-21,56,56,33.5,4.8,10.0,4.0,7.4,0.8,2.6,2.5,3.2,2.5,6.4,9.0,2.1,1.1,0.6,1.9,2.3,12.8,.478,.540,.301,.768,.556,.517,F,Villanova,jeremiah-robinson-earl-1
156,Thomas Robinson,SAC,1,5,2012,Kansas,2009-10,2011-12,105,42,18.7,3.8,7.2,3.7,7.0,0.1,0.1,2.2,3.6,2.1,5.2,7.3,1.0,0.6,0.7,1.6,2.1,9.8,.525,.525,.500,.606,.550,.529,F,Kansas,thomas-robinson-2
157,Stanley Robinson,ORL,2,59,2010,Connecticut,2009-10,2009-10,34,34,34.2,6.0,11.4,5.2,9.1,0.8,2.3,1.8,2.9,2.7,5.0,7.6,1.0,0.9,1.2,2.3,1.5,14.5,.525,.571,.342,.629,.570,.559,F,Connecticut,stanley-robinson-1
158,Jerome Robinson,LAC,1,13,2018,Boston College,2015-16,2017-18,90,90,34.6,6.2,13.9,4.5,9.2,1.8,4.7,3.4,4.5,0.5,3.3,3.8,3.3,1.3,0.3,2.9,2.5,17.7,.450,.488,.376,.755,.551,.514,F,Boston College,jerome-robinson-2
159,Glenn Robinson III,MIN,2,40,2014,Michigan,2012-13,2013-14,76,76,33.0,4.6,8.8,3.9,6.4,0.7,2.4,2.1,2.9,1.8,3.1,4.9,1.1,1.0,0.3,1.0,1.3,12.0,.525,.603,.313,.718,.593,.567,F,Michigan,glenn-robinson-2
160,Andre Roberson,MIN,1,26,2013,Colorado,2010-11,2012-13,105,65,28.3,3.6,7.1,3.2,5.7,0.5,1.4,1.9,3.2,2.9,7.0,10.0,1.1,1.6,1.4,1.7,2.6,9.6,.516,.555,.350,.582,.561,.549,F,Colorado,andre-roberson-1
161,Austin Rivers,NOH,1,10,2012,Duke,2011-12,2011-12,34,33,33.2,5.1,11.8,3.4,7.1,1.7,4.7,3.6,5.4,0.6,2.8,3.4,2.1,1.0,0.0,2.3,2.2,15.5,.433,.477,.365,.658,.538,.505,G,Duke,austin-rivers-1
162,Grant Riller,CHA,2,56,2020,College of Charleston,2016-17,2019-20,132,123,32.3,6.7,12.8,5.3,8.9,1.4,4.0,4.0,5.0,0.5,2.8,3.3,2.8,1.3,0.3,2.2,1.9,18.7,.519,.593,.356,.796,.616,.574,G,College of Charleston,grant-riller-1
163,Malachi Richardson,CHA,1,22,2016,Syracuse,2015-16,2015-16,37,37,34.4,4.1,11.1,2.0,5.1,2.1,6.1,3.1,4.2,0.5,3.8,4.3,2.1,1.1,0.3,2.1,2.5,13.4,.369,.388,.353,.720,.510,.465,G,Syracuse,malachi-richardson-1
164,Josh Richardson,MIA,2,40,2015,Tennessee,2011-12,2014-15,136,110,28.3,3.4,7.4,2.6,5.1,0.7,2.3,1.8,2.3,0.9,2.4,3.2,1.8,1.1,0.6,1.5,2.2,9.2,.456,.516,.318,.758,.542,.504,G,Tennessee,josh-richardson-2
165,Nick Richards,NOH,2,42,2020,Kentucky,2017-18,2019-20,105,70,18.2,2.7,4.3,2.7,4.3,0.0,0.0,2.0,2.7,1.8,3.2,5.0,0.2,0.1,1.4,1.0,2.4,7.3,.627,.627,,.728,.660,.627,F,Kentucky,nick-richards-2
166,Glen Rice Jr.,PHI,2,35,2013,Georgia Tech,2009-10,2011-12,87,44,24.8,3.6,8.4,2.5,5.0,1.1,3.3,1.5,2.4,1.6,3.2,4.8,2.1,1.3,0.5,1.9,2.2,9.9,.435,.493,.346,.611,.520,.503,G,Georgia Tech,glen-rice-jr-1
167,Ryan Reid,IND,2,57,2010,Florida State,2009-10,2009-10,31,29,22.7,2.6,5.4,2.6,5.4,0.0,0.0,1.5,2.5,1.9,2.1,4.0,1.1,0.6,0.5,1.6,1.5,6.8,.491,.491,,.597,.516,.491,F,Florida State,ryan-reid-1
168,Paul Reed,PHI,2,58,2020,DePaul,2017-18,2019-20,93,58,23.2,4.3,8.1,3.9,6.9,0.4,1.1,1.6,2.1,2.4,5.2,7.5,1.0,1.2,1.5,1.6,2.4,10.6,.535,.568,.330,.739,.583,.558,F,DePaul,paul-reed-5
169,Davon Reed,PHO,2,32,2017,Miami (FL),2013-14,2016-17,131,99,28.1,3.3,7.8,1.8,3.9,1.5,3.9,2.0,2.6,0.7,3.0,3.6,1.6,0.9,0.4,1.4,1.9,10.3,.430,.466,.395,.779,.569,.529,G,Miami (FL),davon-reed-1
170,Cam Reddish,ATL,1,10,2019,Duke,2018-19,2018-19,36,35,29.7,4.3,12.0,1.8,4.6,2.5,7.4,2.4,3.2,0.6,3.1,3.7,1.9,1.6,0.6,2.7,2.4,13.5,.356,.394,.333,.772,.499,.459,F,Duke,cam-reddish-1
171,Andy Rautins,NYK,2,38,2010,Syracuse,2009-10,2009-10,35,35,32.5,3.7,8.5,0.9,1.6,2.8,6.9,1.9,2.3,0.5,2.9,3.4,4.9,2.0,0.2,2.8,2.2,12.1,.438,.571,.407,.815,.632,.603,G,Syracuse,andy-rautins-1
172,Julius Randle,LAL,1,7,2014,Kentucky,2013-14,2013-14,40,40,30.8,4.9,9.8,4.8,9.3,0.1,0.5,5.1,7.2,3.5,6.9,10.4,1.4,0.5,0.8,2.5,2.3,15.0,.501,.517,.167,.706,.567,.505,F,Kentucky,julius-randle-1
173,Jahmi'us Ramsey,SAC,2,43,2020,Texas Tech,2019-20,2019-20,27,27,31.2,5.5,12.4,3.3,7.2,2.2,5.2,1.9,2.9,0.7,3.3,4.0,2.2,1.3,0.7,2.0,2.2,15.0,.442,.454,.426,.641,.546,.531,G,Texas Tech,jahmius-ramsey-1
174,Ivan Rabb,ORL,2,35,2017,California,2015-16,2016-17,65,64,30.6,4.8,8.8,4.7,8.5,0.1,0.3,3.5,5.2,2.9,6.6,9.4,1.2,0.6,1.1,1.8,3.1,13.2,.544,.549,.409,.666,.584,.551,F,California,ivan-rabb-1
175,Immanuel Quickley,OKC,1,25,2020,Kentucky,2018-19,2019-20,67,27,25.0,2.9,7.1,1.5,3.7,1.4,3.5,2.9,3.3,0.3,2.6,2.9,1.5,0.6,0.1,1.2,1.7,10.1,.403,.409,.397,.895,.578,.499,G,Kentucky,immanuel-quickley-1
176,Neemias Queta,SAC,2,39,2021,Utah State,2018-19,2020-21,86,84,28.0,5.1,8.7,5.1,8.6,0.0,0.1,2.9,4.4,2.5,6.5,9.0,2.0,0.7,2.5,2.5,2.7,13.2,.594,.596,.375,.646,.612,.596,C,Utah State,neemias-queta-1
177,Olivier-Maxence Prosper,SAC,1,24,2023,Marquette,2020-21,2022-23,90,63,21.4,2.7,5.7,2.0,3.5,0.7,2.1,1.9,2.5,1.1,2.4,3.5,0.7,0.7,0.1,1.0,1.9,8.0,.478,.577,.316,.749,.581,.538,G,ClemsonMarquette,olivier-maxence-prosper-1
178,Payton Pritchard,BOS,1,26,2020,Oregon,2016-17,2019-20,144,140,33.7,4.6,10.4,2.6,5.2,2.0,5.3,2.3,2.9,0.7,3.2,3.8,4.6,1.5,0.0,2.0,2.2,13.5,.437,.495,.379,.800,.569,.533,G,Oregon,payton-pritchard-1
