,Player,Round,Pick,Draft Year,College,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
108,Jarnell Stokes,2,35,2014,Tennessee,87,84,29.7,4.7,8.9,4.7,8.9,0.0,0.0,3.5,5.6,3.9,5.7,9.6,1.5,0.7,1.1,2.1,2.2,13.0,0.53,0.532,0.0,0.628,0.56,0.53,F
109,Isaiah Stewart,1,16,2020,Washington,32,32,32.2,6.0,10.5,5.8,9.9,0.2,0.6,4.8,6.2,2.8,6.0,8.8,0.8,0.5,2.1,2.2,2.6,17.0,0.57,0.59,0.25,0.774,0.629,0.577,F
110,Lance Stephenson,2,40,2010,Cincinnati,34,32,28.2,4.8,10.8,4.3,8.7,0.5,2.1,2.3,3.5,1.9,3.5,5.4,2.5,0.9,0.2,2.4,1.9,12.3,0.44,0.495,0.219,0.664,0.493,0.462,F
111,Nik Stauskas,1,8,2014,Michigan,75,69,32.9,4.3,9.2,2.0,4.0,2.3,5.2,3.2,3.9,0.5,2.5,2.9,2.3,0.6,0.3,1.5,1.0,14.1,0.467,0.5,0.441,0.832,0.638,0.591,G
112,Cassius Stanley,2,54,2020,Duke,29,29,27.4,4.4,9.3,3.3,6.3,1.1,3.0,2.7,3.6,1.9,3.0,4.9,1.0,0.7,0.7,1.9,2.2,12.6,0.474,0.527,0.36,0.733,0.569,0.531,G
113,Jaden Springer,1,28,2021,Tennessee,25,15,25.9,4.2,9.1,3.4,7.2,0.8,1.8,3.2,4.0,1.0,2.5,3.5,2.9,1.2,0.4,2.4,2.0,12.5,0.467,0.475,0.435,0.81,0.57,0.511,G
114,Omari Spellman,1,30,2018,Villanova,40,39,28.1,4.0,8.4,2.4,4.7,1.6,3.8,1.2,1.8,2.3,5.8,8.0,0.8,0.7,1.5,1.0,2.3,10.9,0.476,0.511,0.433,0.7,0.588,0.573,F
115,Raymond Spalding,2,56,2018,Louisville,100,48,21.7,3.3,6.0,3.3,5.7,0.1,0.3,1.4,2.5,2.3,4.0,6.3,0.9,1.0,1.1,1.3,2.6,8.1,0.557,0.571,0.24,0.579,0.57,0.562,F
116,Jeremy Sochan,1,9,2022,Baylor,30,1,25.1,3.3,7.0,2.5,4.3,0.8,2.7,1.8,3.0,2.0,4.4,6.4,1.8,1.3,0.7,1.6,2.3,9.2,0.474,0.585,0.296,0.589,0.546,0.531,F
117,Tony Snell,1,20,2013,New Mexico,104,76,24.8,3.0,7.1,1.4,2.9,1.6,4.2,1.6,1.9,0.4,2.0,2.4,2.0,0.5,0.3,1.5,1.2,9.2,0.421,0.48,0.38,0.821,0.571,0.533,G
118,Zhaire Smith,1,16,2018,Texas Tech,37,21,28.4,4.2,7.5,3.7,6.4,0.5,1.1,2.5,3.4,2.2,2.8,5.0,1.8,1.1,1.1,1.1,1.8,11.3,0.556,0.574,0.45,0.717,0.618,0.588,G
119,Russ Smith,2,47,2014,Louisville,133,80,24.3,4.7,11.3,3.3,7.4,1.4,3.9,3.7,4.8,0.7,2.0,2.7,2.8,1.9,0.1,2.4,2.4,14.3,0.413,0.449,0.345,0.76,0.528,0.473,G
120,Nolan Smith,1,21,2011,Duke,75,75,34.8,6.7,14.8,5.1,10.6,1.6,4.2,4.1,5.2,1.1,2.6,3.6,4.0,1.2,0.2,2.5,1.9,19.0,0.45,0.481,0.37,0.794,0.55,0.502,G
121,Nick Smith Jr.,1,27,2023,Arkansas,17,14,25.8,4.5,11.9,3.1,7.7,1.4,4.2,2.2,2.9,0.2,1.4,1.6,1.7,0.8,0.1,1.6,1.5,12.5,0.376,0.397,0.338,0.74,0.472,0.436,G
122,Jalen Smith,1,10,2020,Maryland,64,64,28.9,4.9,9.5,4.1,7.0,0.8,2.5,2.9,4.1,3.0,5.7,8.6,0.8,0.6,1.8,1.5,2.2,13.5,0.516,0.584,0.323,0.709,0.59,0.558,F
123,Jabari Smith,1,3,2022,Auburn,34,34,28.8,5.4,12.6,3.1,7.0,2.3,5.5,3.9,4.8,0.9,6.5,7.4,2.0,1.1,1.0,1.9,2.1,16.9,0.429,0.435,0.42,0.799,0.57,0.521,F
124,Dennis Smith Jr.,1,9,2017,NC State,32,32,34.8,6.0,13.1,4.3,8.3,1.7,4.8,4.5,6.3,0.8,3.8,4.6,6.2,1.9,0.4,3.4,2.1,18.1,0.455,0.509,0.359,0.715,0.563,0.52,G
125,Marcus Smart,1,6,2014,Oklahoma State,64,63,33.1,4.9,11.9,3.5,7.3,1.4,4.6,5.5,7.3,1.5,4.4,5.9,4.5,2.9,0.6,3.0,2.9,16.6,0.413,0.488,0.295,0.751,0.542,0.47,G
126,Jalen Slawson,2,54,2023,Furman,153,119,24.0,3.5,6.8,2.8,4.6,0.7,2.2,2.1,2.8,1.3,4.2,5.5,2.4,1.3,1.2,1.9,2.5,9.9,0.519,0.611,0.329,0.754,0.61,0.573,F
127,Peyton Siva,2,56,2013,Louisville,144,113,26.2,2.9,6.9,2.2,4.5,0.7,2.4,2.0,2.8,0.3,2.1,2.4,4.7,1.8,0.1,2.7,2.6,8.4,0.417,0.482,0.291,0.737,0.516,0.467,G
128,Chris Singleton,1,18,2011,Florida State,60,57,30.3,4.0,9.5,2.9,6.0,1.2,3.6,2.4,4.0,2.1,4.8,6.9,1.7,2.1,1.5,2.6,3.1,11.6,0.423,0.479,0.329,0.585,0.506,0.484,F
129,Kyle Singler,2,33,2011,Duke,77,77,35.4,5.8,13.8,3.9,8.5,1.9,5.3,3.8,4.7,2.3,4.6,6.9,2.0,1.0,0.6,1.9,2.4,17.3,0.422,0.459,0.362,0.802,0.541,0.492,F
130,Jericho Sims,2,58,2021,Texas,119,77,20.5,2.7,4.3,2.7,4.3,0.0,0.0,1.2,2.2,1.8,3.6,5.4,0.4,0.4,0.8,1.2,2.2,6.6,0.639,0.64,0.0,0.524,0.621,0.639,F
131,Ben Simmons,1,1,2016,Louisiana State,33,32,34.9,6.5,11.7,6.5,11.6,0.0,0.1,6.0,9.0,3.1,8.6,11.8,4.8,2.0,0.8,3.4,2.8,19.2,0.56,0.561,0.333,0.67,0.6,0.561,F
132,Pascal Siakam,1,27,2016,New Mexico State,68,61,32.7,6.5,11.8,6.4,11.5,0.0,0.3,3.5,5.0,3.6,6.1,9.7,1.5,0.9,2.0,1.9,2.6,16.6,0.551,0.559,0.176,0.711,0.586,0.553,F
133,Iman Shumpert,1,17,2011,Georgia Tech,61,60,31.1,4.6,11.6,3.3,7.3,1.3,4.3,3.2,4.1,1.3,3.5,4.8,3.7,2.3,0.2,2.7,2.5,13.7,0.398,0.455,0.302,0.78,0.507,0.454,G
134,Ben Sheppard,1,26,2023,Belmont,124,91,26.0,4.4,9.3,2.8,4.9,1.6,4.4,1.8,2.6,0.7,3.2,3.9,1.8,1.0,0.1,1.4,2.0,12.2,0.475,0.57,0.37,0.696,0.583,0.563,G
135,Marial Shayok,2,54,2019,Iowa State,137,57,20.7,3.3,7.1,2.4,4.6,0.9,2.4,1.4,1.7,0.5,2.2,2.7,1.3,0.7,0.2,1.3,1.5,8.9,0.47,0.516,0.381,0.787,0.565,0.535,G
136,Day'Ron Sharpe,1,29,2021,North Carolina,29,4,19.2,3.9,7.4,3.9,7.4,0.0,0.1,1.8,3.5,3.3,4.2,7.6,1.4,0.8,0.9,2.0,2.0,9.5,0.519,0.523,0.0,0.505,0.521,0.519,F
137,Landry Shamet,1,26,2018,Wichita State,71,68,28.6,4.2,8.7,1.9,3.6,2.2,5.1,2.3,2.8,0.5,2.5,3.0,4.1,0.8,0.2,1.5,2.1,12.9,0.48,0.542,0.437,0.811,0.641,0.609,G
138,Collin Sexton,1,8,2018,Alabama,33,32,29.9,5.9,13.3,4.6,9.3,1.3,4.0,5.9,7.6,1.0,2.7,3.8,3.6,0.8,0.1,2.8,2.5,19.2,0.447,0.495,0.336,0.778,0.567,0.498,G
139,Brice Sensabaugh,1,28,2023,Ohio State,33,21,24.5,6.0,12.4,4.2,7.9,1.8,4.5,2.5,3.0,1.3,4.1,5.4,1.2,0.5,0.4,2.0,2.5,16.3,0.48,0.523,0.405,0.83,0.587,0.554,F
140,Josh Selby,2,49,2011,Kansas,26,11,20.4,2.8,7.4,1.5,3.8,1.3,3.6,1.1,1.4,0.4,1.8,2.2,2.2,0.8,0.0,2.0,1.7,7.9,0.373,0.384,0.362,0.757,0.489,0.461,G
141,Mike Scott,2,43,2012,Virginia,70,66,30.1,5.9,11.1,5.7,10.7,0.1,0.4,3.4,4.2,2.5,5.7,8.1,1.3,0.6,0.4,2.0,1.8,15.3,0.53,0.537,0.357,0.803,0.584,0.537,F
142,Admiral Schofield,2,42,2019,Tennessee,132,95,24.9,4.4,9.7,3.0,6.1,1.4,3.6,1.6,2.1,1.3,4.1,5.3,1.3,0.7,0.4,1.4,2.6,11.9,0.458,0.501,0.387,0.763,0.556,0.53,G
143,Marcus Sasser,1,25,2023,Houston,107,93,29.3,4.4,10.9,1.9,3.9,2.6,7.0,2.2,2.7,0.3,2.3,2.7,2.4,1.3,0.1,1.4,1.6,13.6,0.406,0.471,0.369,0.824,0.56,0.524,G
144,Larry Sanders,1,15,2010,VCU,35,32,26.9,5.6,10.5,5.5,10.0,0.1,0.5,3.1,4.8,3.0,6.1,9.1,1.0,0.7,2.6,1.7,2.9,14.4,0.534,0.547,0.25,0.641,0.563,0.54,F
145,Robert Sacre,2,60,2012,Gonzaga,102,101,25.8,3.7,7.3,3.7,7.2,0.0,0.0,4.1,5.5,2.1,3.9,6.0,0.8,0.6,1.7,2.0,2.6,11.5,0.507,0.508,0.25,0.743,0.58,0.507,C
146,Domantas Sabonis,1,11,2016,Gonzaga,74,32,26.6,5.2,8.2,5.1,8.0,0.1,0.2,3.1,4.2,2.6,6.8,9.4,1.3,0.5,0.6,2.0,3.0,13.5,0.632,0.638,0.357,0.729,0.662,0.636,F
147,D'Angelo Russell,1,2,2015,Ohio State,35,34,33.9,6.6,14.7,3.9,8.1,2.7,6.6,3.4,4.5,1.0,4.7,5.7,5.0,1.6,0.3,2.9,2.1,19.3,0.449,0.479,0.411,0.756,0.573,0.541,G
148,Terry Rozier,1,16,2015,Louisville,73,45,26.8,4.2,10.3,3.1,6.8,1.2,3.5,2.4,3.1,1.0,3.3,4.3,2.4,1.5,0.1,1.4,1.6,12.0,0.408,0.447,0.331,0.772,0.507,0.463,G
149,Terrence Ross,1,8,2012,Washington,69,39,24.4,4.6,10.1,2.9,5.5,1.7,4.6,1.4,1.8,1.1,3.5,4.7,1.2,0.9,0.7,1.4,2.4,12.3,0.453,0.528,0.364,0.764,0.557,0.536,G
150,Ryan Rollins,2,44,2022,Toledo,64,64,31.5,5.9,13.0,4.5,8.7,1.4,4.3,3.2,4.1,0.8,4.8,5.6,3.1,1.4,0.2,2.3,2.6,16.4,0.453,0.521,0.317,0.796,0.548,0.505,G
151,Magnum Rolle,2,51,2010,Louisiana Tech,34,33,30.1,5.6,10.8,5.6,10.8,0.0,0.0,2.7,4.1,3.5,4.9,8.4,0.8,0.8,2.1,2.0,2.8,13.9,0.514,0.514,,0.66,0.541,0.514,F
152,David Roddy,1,23,2022,Colorado State,91,76,29.9,5.6,10.7,4.7,7.9,0.9,2.8,3.4,4.6,1.9,5.5,7.4,2.4,0.9,0.8,2.2,2.2,15.5,0.522,0.593,0.319,0.739,0.6,0.563,G
153,Isaiah Roby,2,45,2019,Nebraska,97,52,23.9,2.9,6.1,2.4,4.6,0.5,1.5,1.8,2.6,1.6,3.9,5.5,1.5,0.8,1.6,1.6,2.8,8.1,0.476,0.523,0.336,0.702,0.555,0.518,F
154,Jeremiah Robinson-Earl,2,32,2021,Villanova,56,56,33.5,4.8,10.0,4.0,7.4,0.8,2.6,2.5,3.2,2.5,6.4,9.0,2.1,1.1,0.6,1.9,2.3,12.8,0.478,0.54,0.301,0.768,0.556,0.517,F
155,Thomas Robinson,1,5,2012,Kansas,105,42,18.7,3.8,7.2,3.7,7.0,0.1,0.1,2.2,3.6,2.1,5.2,7.3,1.0,0.6,0.7,1.6,2.1,9.8,0.525,0.525,0.5,0.606,0.55,0.529,F
156,Stanley Robinson,2,59,2010,Connecticut,34,34,34.2,6.0,11.4,5.2,9.1,0.8,2.3,1.8,2.9,2.7,5.0,7.6,1.0,0.9,1.2,2.3,1.5,14.5,0.525,0.571,0.342,0.629,0.57,0.559,F
157,Jerome Robinson,1,13,2018,Boston College,90,90,34.6,6.2,13.9,4.5,9.2,1.8,4.7,3.4,4.5,0.5,3.3,3.8,3.3,1.3,0.3,2.9,2.5,17.7,0.45,0.488,0.376,0.755,0.551,0.514,F
158,Glenn Robinson III,2,40,2014,Michigan,76,76,33.0,4.6,8.8,3.9,6.4,0.7,2.4,2.1,2.9,1.8,3.1,4.9,1.1,1.0,0.3,1.0,1.3,12.0,0.525,0.603,0.313,0.718,0.593,0.567,F
159,Andre Roberson,1,26,2013,Colorado,105,65,28.3,3.6,7.1,3.2,5.7,0.5,1.4,1.9,3.2,2.9,7.0,10.0,1.1,1.6,1.4,1.7,2.6,9.6,0.516,0.555,0.35,0.582,0.561,0.549,F
160,Austin Rivers,1,10,2012,Duke,34,33,33.2,5.1,11.8,3.4,7.1,1.7,4.7,3.6,5.4,0.6,2.8,3.4,2.1,1.0,0.0,2.3,2.2,15.5,0.433,0.477,0.365,0.658,0.538,0.505,G
161,Grant Riller,2,56,2020,College of Charleston,132,123,32.3,6.7,12.8,5.3,8.9,1.4,4.0,4.0,5.0,0.5,2.8,3.3,2.8,1.3,0.3,2.2,1.9,18.7,0.519,0.593,0.356,0.796,0.616,0.574,G
162,Malachi Richardson,1,22,2016,Syracuse,37,37,34.4,4.1,11.1,2.0,5.1,2.1,6.1,3.1,4.2,0.5,3.8,4.3,2.1,1.1,0.3,2.1,2.5,13.4,0.369,0.388,0.353,0.72,0.51,0.465,G
163,Josh Richardson,2,40,2015,Tennessee,136,110,28.3,3.4,7.4,2.6,5.1,0.7,2.3,1.8,2.3,0.9,2.4,3.2,1.8,1.1,0.6,1.5,2.2,9.2,0.456,0.516,0.318,0.758,0.542,0.504,G
164,Nick Richards,2,42,2020,Kentucky,105,70,18.2,2.7,4.3,2.7,4.3,0.0,0.0,2.0,2.7,1.8,3.2,5.0,0.2,0.1,1.4,1.0,2.4,7.3,0.627,0.627,,0.728,0.66,0.627,F
165,Glen Rice Jr.,2,35,2013,Georgia Tech,87,44,24.8,3.6,8.4,2.5,5.0,1.1,3.3,1.5,2.4,1.6,3.2,4.8,2.1,1.3,0.5,1.9,2.2,9.9,0.435,0.493,0.346,0.611,0.52,0.503,G
166,Ryan Reid,2,57,2010,Florida State,31,29,22.7,2.6,5.4,2.6,5.4,0.0,0.0,1.5,2.5,1.9,2.1,4.0,1.1,0.6,0.5,1.6,1.5,6.8,0.491,0.491,,0.597,0.516,0.491,F
167,Paul Reed,2,58,2020,DePaul,93,58,23.2,4.3,8.1,3.9,6.9,0.4,1.1,1.6,2.1,2.4,5.2,7.5,1.0,1.2,1.5,1.6,2.4,10.6,0.535,0.568,0.33,0.739,0.583,0.558,F
168,Davon Reed,2,32,2017,Miami (FL),131,99,28.1,3.3,7.8,1.8,3.9,1.5,3.9,2.0,2.6,0.7,3.0,3.6,1.6,0.9,0.4,1.4,1.9,10.3,0.43,0.466,0.395,0.779,0.569,0.529,G
169,Cam Reddish,1,10,2019,Duke,36,35,29.7,4.3,12.0,1.8,4.6,2.5,7.4,2.4,3.2,0.6,3.1,3.7,1.9,1.6,0.6,2.7,2.4,13.5,0.356,0.394,0.333,0.772,0.499,0.459,F
170,Andy Rautins,2,38,2010,Syracuse,35,35,32.5,3.7,8.5,0.9,1.6,2.8,6.9,1.9,2.3,0.5,2.9,3.4,4.9,2.0,0.2,2.8,2.2,12.1,0.438,0.571,0.407,0.815,0.632,0.603,G
171,Julius Randle,1,7,2014,Kentucky,40,40,30.8,4.9,9.8,4.8,9.3,0.1,0.5,5.1,7.2,3.5,6.9,10.4,1.4,0.5,0.8,2.5,2.3,15.0,0.501,0.517,0.167,0.706,0.567,0.505,F
172,Jahmi'us Ramsey,2,43,2020,Texas Tech,27,27,31.2,5.5,12.4,3.3,7.2,2.2,5.2,1.9,2.9,0.7,3.3,4.0,2.2,1.3,0.7,2.0,2.2,15.0,0.442,0.454,0.426,0.641,0.546,0.531,G
173,Ivan Rabb,2,35,2017,California,65,64,30.6,4.8,8.8,4.7,8.5,0.1,0.3,3.5,5.2,2.9,6.6,9.4,1.2,0.6,1.1,1.8,3.1,13.2,0.544,0.549,0.409,0.666,0.584,0.551,F
174,Immanuel Quickley,1,25,2020,Kentucky,67,27,25.0,2.9,7.1,1.5,3.7,1.4,3.5,2.9,3.3,0.3,2.6,2.9,1.5,0.6,0.1,1.2,1.7,10.1,0.403,0.409,0.397,0.895,0.578,0.499,G
175,Neemias Queta,2,39,2021,Utah State,86,84,28.0,5.1,8.7,5.1,8.6,0.0,0.1,2.9,4.4,2.5,6.5,9.0,2.0,0.7,2.5,2.5,2.7,13.2,0.594,0.596,0.375,0.646,0.612,0.596,C
176,Olivier-Maxence Prosper,1,24,2023,Marquette,90,63,21.4,2.7,5.7,2.0,3.5,0.7,2.1,1.9,2.5,1.1,2.4,3.5,0.7,0.7,0.1,1.0,1.9,8.0,0.478,0.577,0.316,0.749,0.581,0.538,G
177,Payton Pritchard,1,26,2020,Oregon,144,140,33.7,4.6,10.4,2.6,5.2,2.0,5.3,2.3,2.9,0.7,3.2,3.8,4.6,1.5,0.0,2.0,2.2,13.5,0.437,0.495,0.379,0.8,0.569,0.533,G
178,Taurean Prince,1,12,2016,Baylor,129,42,20.2,3.6,7.9,2.6,5.2,1.0,2.7,2.0,2.8,1.6,2.7,4.2,1.1,0.9,0.5,1.7,2.1,10.2,0.46,0.504,0.376,0.718,0.557,0.524,F
179,Joshua Primo,1,12,2021,Alabama,30,19,22.5,2.8,6.5,1.4,2.7,1.4,3.8,1.1,1.5,1.0,2.3,3.4,0.8,0.6,0.3,1.4,1.7,8.1,0.431,0.5,0.381,0.75,0.565,0.541,G
180,Jason Preston,2,33,2021,Ohio,82,73,34.1,4.9,9.8,3.9,7.1,1.0,2.7,1.8,2.6,0.8,4.8,5.6,5.9,1.2,0.1,2.6,1.2,12.6,0.498,0.551,0.357,0.703,0.568,0.547,G
181,Norman Powell,2,46,2015,UCLA,141,83,25.2,3.6,7.7,2.8,5.2,0.8,2.5,1.8,2.5,0.4,2.6,3.0,1.5,1.1,0.4,1.3,2.0,9.8,0.461,0.533,0.314,0.746,0.548,0.512,G
182,Dwight Powell,2,45,2014,Stanford,136,105,26.2,3.8,8.2,3.5,7.3,0.2,0.8,3.0,4.1,1.7,4.6,6.3,1.8,0.9,0.9,2.1,2.9,10.8,0.464,0.484,0.289,0.722,0.533,0.479,F
183,Bobby Portis,1,22,2015,Arkansas,70,70,28.5,5.9,11.2,5.5,10.3,0.3,0.9,2.9,3.9,3.1,4.7,7.9,1.3,1.1,1.5,1.4,2.0,15.0,0.526,0.54,0.365,0.737,0.574,0.54,F
184,Otto Porter,1,3,2013,Georgetown,64,38,32.5,4.6,9.2,3.7,6.8,0.9,2.4,2.8,3.8,1.9,5.3,7.1,2.1,1.5,0.9,1.3,2.0,12.8,0.498,0.55,0.355,0.751,0.585,0.545,F
185,Michael Porter Jr.,1,14,2018,Missouri,3,1,17.7,3.3,10.0,2.3,6.7,1.0,3.3,2.3,3.0,1.3,5.3,6.7,0.3,1.0,0.3,1.0,2.0,10.0,0.333,0.35,0.3,0.778,0.438,0.383,F
186,Kevin Porter Jr.,1,30,2019,Southern California,21,4,22.1,3.5,7.5,2.2,4.2,1.3,3.2,1.1,2.2,1.0,3.0,4.0,1.4,0.8,0.5,1.9,2.1,9.5,0.471,0.517,0.412,0.522,0.559,0.561,G
187,Jordan Poole,1,28,2019,Michigan,75,37,22.7,3.1,7.3,1.6,3.1,1.5,4.1,1.6,1.9,0.1,2.0,2.2,1.4,0.8,0.2,1.1,1.5,9.4,0.434,0.519,0.37,0.831,0.576,0.54,G
188,Quincy Pondexter,1,26,2010,Washington,36,36,32.3,6.8,12.9,6.3,11.5,0.5,1.4,5.2,6.3,3.0,4.4,7.4,1.8,1.3,0.6,1.9,2.5,19.3,0.528,0.55,0.353,0.827,0.608,0.547,F
189,Sir'Dominic Pointer,2,53,2015,St. John's (NY),130,76,28.2,3.1,6.6,3.0,5.7,0.2,0.8,1.9,2.8,1.2,4.0,5.2,2.3,1.5,1.3,1.7,2.8,8.3,0.477,0.518,0.193,0.681,0.527,0.489,G
190,Jakob Poeltl,1,9,2016,Utah,70,70,26.9,5.1,7.7,5.1,7.7,0.0,0.0,3.1,5.2,2.8,5.2,8.0,1.3,0.5,1.7,1.8,2.4,13.3,0.658,0.659,0.0,0.605,0.653,0.658,F
191,Brandin Podziemski,1,19,2023,Santa Clara,48,32,25.4,4.8,10.0,3.0,5.9,1.8,4.1,2.4,3.1,1.2,4.9,6.1,2.5,1.2,0.3,1.6,1.4,13.7,0.48,0.52,0.424,0.77,0.599,0.568,G
192,Miles Plumlee,1,26,2012,Duke,111,56,17.7,2.2,3.9,2.2,3.9,0.0,0.0,1.1,1.7,2.1,3.4,5.5,0.4,0.5,0.7,1.1,2.4,5.5,0.565,0.564,1.0,0.63,0.583,0.566,F
193,Mason Plumlee,1,22,2013,Duke,141,99,25.9,3.7,6.5,3.7,6.4,0.0,0.1,2.4,4.0,2.4,5.4,7.7,1.5,0.8,1.4,2.0,2.5,9.8,0.574,0.578,0.2,0.583,0.584,0.575,F
194,Dexter Pittman,2,32,2010,Texas,34,34,19.1,4.1,6.3,4.1,6.3,0.0,0.0,2.2,4.0,3.0,2.9,5.9,0.5,0.4,1.9,1.8,2.6,10.4,0.654,0.654,,0.556,0.638,0.654,C
195,Jalen Pickett,2,32,2023,Penn State,144,142,36.9,5.8,12.8,4.1,8.1,1.7,4.8,2.0,2.7,1.0,4.4,5.4,5.8,1.2,0.8,2.1,1.9,15.3,0.454,0.513,0.355,0.742,0.544,0.52,G
196,Julian Phillips,2,35,2023,Tennessee,32,25,24.1,2.5,6.0,2.1,4.6,0.3,1.4,3.0,3.7,1.8,2.9,4.7,1.4,0.6,0.5,1.3,1.8,8.3,0.411,0.466,0.239,0.822,0.536,0.44,F
197,Filip Petrusev,2,50,2021,Gonzaga,65,33,18.8,4.2,7.6,4.1,7.0,0.2,0.6,3.4,4.8,1.5,3.8,5.4,0.9,0.4,0.6,1.4,1.6,12.0,0.56,0.586,0.268,0.703,0.61,0.571,F
198,Alec Peters,2,54,2017,Valparaiso,134,134,31.7,5.9,12.1,3.7,6.9,2.2,5.2,3.6,4.2,2.0,5.5,7.4,1.5,0.8,0.3,1.9,2.1,17.5,0.487,0.539,0.416,0.846,0.621,0.576,F
199,Reggie Perry,2,57,2020,Mississippi State,65,49,27.3,4.6,9.2,4.1,7.6,0.5,1.7,3.6,4.8,2.9,5.7,8.6,1.4,0.7,0.9,2.2,3.0,13.4,0.501,0.544,0.309,0.748,0.58,0.529,F
200,Elfrid Payton,1,10,2014,Louisiana–Lafayette,100,78,31.6,5.0,10.3,4.7,9.2,0.3,1.1,3.9,6.5,1.5,3.6,5.1,4.9,2.0,0.5,3.4,2.3,14.3,0.485,0.512,0.268,0.611,0.533,0.5,G
201,Cameron Payne,1,14,2015,Murray State,69,69,32.4,6.3,14.6,4.0,8.3,2.3,6.3,3.7,4.7,0.4,3.2,3.7,5.7,1.8,0.5,2.9,2.4,18.5,0.432,0.487,0.359,0.781,0.551,0.509,G
202,Adreian Payne,1,15,2014,Michigan State,138,94,20.0,3.2,6.2,2.8,5.1,0.4,1.1,2.0,2.7,1.5,3.8,5.3,0.6,0.6,1.0,1.4,2.2,8.9,0.526,0.551,0.409,0.755,0.601,0.562,C
203,Justin Patton,1,16,2017,Creighton,35,34,25.3,5.7,8.5,5.5,8.0,0.2,0.4,1.3,2.5,1.7,4.5,6.2,1.2,0.9,1.4,1.7,2.7,12.9,0.676,0.683,0.533,0.517,0.671,0.689,C
204,Patrick Patterson,1,14,2010,Kentucky,38,38,33.0,5.7,9.8,5.0,8.0,0.6,1.8,2.4,3.4,3.1,4.4,7.4,0.9,0.7,1.3,1.1,1.6,14.3,0.575,0.626,0.348,0.692,0.624,0.607,F
205,Lamar Patterson,2,48,2014,Pittsburgh,149,106,24.3,3.2,7.4,2.1,4.3,1.1,3.1,1.9,2.6,1.2,2.8,3.9,2.9,1.0,0.3,1.6,1.9,9.5,0.435,0.483,0.369,0.723,0.549,0.513,G
206,Eric Paschall,2,41,2019,Villanova,137,109,29.6,4.3,9.2,3.1,5.4,1.2,3.7,2.5,3.2,1.5,3.6,5.1,1.5,0.7,0.5,1.9,2.3,12.3,0.468,0.562,0.331,0.765,0.574,0.535,F
207,Chandler Parsons,2,38,2011,Florida,70,53,32.6,4.2,8.7,3.1,5.5,1.2,3.2,2.2,3.5,2.2,5.2,7.3,3.2,1.0,0.3,2.1,2.0,11.8,0.486,0.557,0.363,0.621,0.569,0.553,F
208,Jabari Parker,1,2,2014,Duke,35,35,30.7,6.7,14.3,5.7,11.2,1.1,3.0,4.6,6.1,3.0,5.7,8.7,1.2,1.1,1.2,2.3,2.4,19.1,0.473,0.504,0.358,0.748,0.558,0.511,F
209,Marcus Paige,2,55,2016,North Carolina,141,139,32.4,4.2,10.4,2.1,4.8,2.1,5.7,2.5,2.9,0.4,2.4,2.8,4.3,1.4,0.2,1.9,1.7,13.1,0.407,0.446,0.375,0.844,0.553,0.509,G
210,Kelly Oubre,1,15,2015,Kansas,36,27,21.0,3.1,6.9,2.1,4.3,0.9,2.6,2.2,3.1,1.1,3.8,5.0,0.8,1.1,0.4,1.2,2.0,9.3,0.444,0.497,0.358,0.718,0.555,0.512,G
211,Daniel Oturu,2,33,2020,Minnesota,66,62,28.5,5.9,10.6,5.6,9.8,0.3,0.8,3.0,4.5,3.1,5.9,9.0,0.8,0.5,1.8,2.1,2.7,15.2,0.558,0.574,0.37,0.671,0.595,0.572,C
212,Romero Osby,2,51,2013,Oklahoma,98,65,23.5,3.8,7.7,3.5,6.9,0.3,0.8,2.8,3.8,1.8,3.7,5.5,0.9,0.5,0.7,1.3,1.9,10.8,0.501,0.509,0.432,0.747,0.573,0.523,F
213,Daniel Orton,1,29,2010,Kentucky,38,0,13.2,1.3,2.4,1.3,2.3,0.0,0.1,0.9,1.7,1.2,2.1,3.3,0.4,0.6,1.4,1.0,2.3,3.4,0.527,0.539,0.0,0.524,0.533,0.527,F
214,Alex Oriakhi,2,57,2013,Missouri,143,130,25.5,3.1,5.9,3.1,5.9,0.0,0.0,1.9,3.0,2.8,4.4,7.2,0.3,0.4,1.5,1.2,2.3,8.2,0.53,0.531,0.0,0.641,0.559,0.53,F
215,Chinanu Onuaku,2,37,2016,Louisville,66,55,21.0,2.8,4.5,2.8,4.4,0.0,0.0,0.7,1.3,2.4,4.0,6.4,1.1,0.8,1.6,1.7,2.7,6.2,0.619,0.621,0.0,0.547,0.614,0.619,F
216,Miye Oni,2,58,2019,Yale,87,82,31.7,5.2,12.1,3.2,6.5,2.0,5.6,2.7,3.5,0.8,5.4,6.2,3.3,0.9,1.0,2.6,2.8,15.0,0.428,0.49,0.356,0.777,0.547,0.51,G
217,Kelly Olynyk,1,13,2013,Gonzaga,101,31,17.2,3.3,5.6,3.1,4.9,0.2,0.7,2.0,2.8,1.5,3.1,4.6,1.1,0.5,0.5,1.4,2.0,8.9,0.594,0.634,0.333,0.709,0.641,0.616,F
