,Player,Round,Pick,WS,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
227,De'Anthony Melton,2,46,11.9,2018-19,2022-23,20-24,312,113,0,22.4,3.2,7.7,1.7,3.8,1.4,3.9,1.0,1.3,0.7,3.0,3.7,2.7,1.4,0.5,1.4,2.0,8.8,0.414,0.459,0.37,0.771,0.534,0.508,G
228,Fab Melo,1,22,0.0,2012-13,2012-13,22,6,0,0,6.0,0.5,1.0,0.5,1.0,0.0,0.0,0.2,0.7,0.0,0.5,0.5,0.0,0.3,0.3,0.2,1.2,1.2,0.5,0.5,,0.25,0.451,0.5,C
229,Jordan McRae,2,58,1.7,2015-16,2019-20,24-28,123,9,0,13.8,2.5,5.9,1.8,4.0,0.7,1.9,1.3,1.7,0.3,1.6,1.8,1.4,0.4,0.2,0.7,1.2,6.9,0.417,0.447,0.355,0.772,0.519,0.474,G
230,Ben McLemore,1,7,9.0,2013-14,2021-22,20-28,556,267,0,22.5,3.2,7.7,1.6,3.4,1.6,4.3,1.1,1.4,0.4,1.9,2.3,1.0,0.6,0.2,1.1,2.1,9.0,0.414,0.479,0.363,0.78,0.543,0.516,G
231,Bryce McGowens,2,40,0.1,2022-23,2022-23,20,46,7,0,17.1,1.7,4.4,1.2,2.7,0.6,1.7,1.3,1.7,0.4,1.6,2.0,1.2,0.3,0.1,0.9,1.0,5.3,0.396,0.443,0.325,0.75,0.519,0.46,G-F
232,Mitch McGary,1,21,1.3,2014-15,2015-16,22-23,52,2,0,10.7,1.9,3.6,1.9,3.5,0.0,0.1,0.6,1.0,1.1,2.4,3.5,0.3,0.3,0.3,0.7,1.6,4.4,0.527,0.544,0.0,0.58,0.54,0.527,F-C
233,Doug McDermott,1,11,20.2,2014-15,2022-23,23-31,591,94,0,20.9,3.5,7.4,2.1,3.9,1.4,3.5,0.9,1.0,0.4,1.9,2.3,1.0,0.2,0.1,0.7,1.5,9.3,0.474,0.531,0.41,0.813,0.591,0.571,F
234,K.J. McDaniels,2,32,1.3,2014-15,2016-17,21-23,148,16,0,14.1,1.9,4.6,1.4,2.9,0.5,1.6,1.1,1.4,0.6,1.5,2.2,0.6,0.5,0.6,1.0,1.4,5.3,0.412,0.479,0.29,0.776,0.512,0.464,G-F
235,Jalen McDaniels,2,52,6.1,2019-20,2022-23,22-25,198,44,0,20.2,2.9,6.2,2.1,3.8,0.8,2.4,1.2,1.5,0.8,3.0,3.8,1.3,0.7,0.4,0.9,2.2,7.7,0.465,0.54,0.345,0.784,0.565,0.531,F
236,Jaden McDaniels,1,28,8.3,2020-21,2022-23,20-22,212,137,0,27.0,3.7,7.7,2.5,4.3,1.2,3.4,0.9,1.2,1.0,2.9,3.9,1.4,0.8,0.9,1.1,3.2,9.6,0.482,0.577,0.36,0.731,0.579,0.561,F
237,Chris McCullough,1,29,0.6,2015-16,2017-18,20-22,59,4,0,9.0,1.3,3.1,1.1,2.3,0.3,0.8,0.4,0.7,0.7,1.2,1.9,0.3,0.5,0.3,0.3,0.9,3.3,0.426,0.47,0.306,0.548,0.481,0.467,F
238,Patrick McCaw,2,38,4.4,2016-17,2020-21,21-25,199,43,0,16.9,1.5,3.5,1.0,2.0,0.5,1.5,0.4,0.5,0.3,1.3,1.6,1.4,0.7,0.2,0.6,1.2,3.8,0.42,0.508,0.305,0.785,0.511,0.486,G
239,Ray McCallum,2,36,2.1,2013-14,2015-16,22-24,154,46,0,18.2,2.4,5.9,2.0,4.6,0.5,1.4,0.7,0.9,0.5,1.5,2.0,2.4,0.5,0.2,1.0,1.2,6.0,0.408,0.43,0.335,0.711,0.47,0.447,G
240,Miles McBride,2,36,1.0,2021-22,2022-23,21-22,104,4,0,10.9,1.0,3.1,0.5,1.2,0.5,1.9,0.3,0.5,0.2,0.7,0.9,1.1,0.5,0.1,0.3,1.0,3.0,0.337,0.43,0.282,0.667,0.448,0.426,G
241,Skylar Mays,2,50,1.7,2020-21,2022-23,23-25,67,11,0,10.1,1.6,3.4,1.1,2.1,0.5,1.4,0.6,0.7,0.3,0.9,1.2,1.4,0.4,0.0,0.4,0.5,4.4,0.478,0.547,0.374,0.894,0.59,0.552,G
242,Tyrese Maxey,1,21,14.6,2020-21,2022-23,20-22,196,123,0,28.6,5.7,11.9,4.1,7.9,1.6,4.0,2.3,2.7,0.3,2.3,2.7,3.3,0.7,0.3,1.1,1.9,15.4,0.479,0.512,0.414,0.858,0.587,0.548,G
243,Bennedict Mathurin,1,6,1.8,2022-23,2022-23,20,78,17,0,28.5,5.3,12.2,4.0,8.2,1.3,4.0,4.8,5.8,1.1,3.0,4.1,1.5,0.6,0.2,1.9,2.1,16.7,0.434,0.488,0.323,0.828,0.566,0.487,G-F
244,Tyrese Martin,2,51,0.0,2022-23,2022-23,23,16,0,0,4.1,0.6,1.4,0.5,1.0,0.1,0.4,0.1,0.1,0.3,0.4,0.8,0.1,0.1,0.0,0.1,0.1,1.3,0.391,0.5,0.143,1.0,0.44,0.413,G
245,Jarell Martin,1,25,3.2,2015-16,2018-19,21-24,184,40,0,15.9,2.0,4.7,1.7,3.7,0.3,1.0,1.0,1.3,1.0,2.4,3.5,0.6,0.4,0.4,0.8,2.2,5.4,0.434,0.457,0.346,0.766,0.513,0.47,F
246,Cody Martin,2,36,6.1,2019-20,2022-23,24-27,178,24,0,21.1,2.2,4.8,1.6,3.1,0.6,1.7,0.8,1.2,1.0,2.5,3.5,2.1,0.9,0.3,0.8,1.5,5.8,0.457,0.535,0.318,0.658,0.538,0.514,G-F
247,Kendall Marshall,1,13,1.0,2012-13,2015-16,21-24,160,57,0,19.3,2.0,4.9,1.2,2.8,0.8,2.2,0.3,0.5,0.1,1.4,1.6,4.9,0.7,0.1,1.8,1.1,5.0,0.399,0.422,0.37,0.611,0.489,0.48,G
248,Lauri Markkanen,1,7,24.8,2017-18,2022-23,20-25,348,322,1,30.6,6.0,13.3,3.7,6.8,2.4,6.4,2.9,3.3,1.3,5.9,7.1,1.4,0.7,0.5,1.4,1.9,17.3,0.455,0.534,0.371,0.858,0.588,0.545,F-C
249,Nico Mannion,2,48,0.2,2020-21,2020-21,19,30,1,0,12.1,1.3,3.8,0.6,1.8,0.7,2.0,0.8,0.9,0.2,1.3,1.5,2.3,0.5,0.0,1.0,1.0,4.1,0.342,0.315,0.367,0.821,0.487,0.439,G
250,Tre Mann,1,18,0.6,2021-22,2022-23,20-21,127,31,0,20.1,3.4,8.6,2.0,4.4,1.4,4.2,0.8,1.1,0.4,2.2,2.6,1.7,0.7,0.2,1.0,1.6,9.0,0.393,0.445,0.338,0.781,0.497,0.475,G
251,Terance Mann,2,48,14.3,2019-20,2022-23,23-26,270,85,0,21.5,3.0,6.1,2.3,4.2,0.7,1.9,1.2,1.5,0.9,2.8,3.7,2.0,0.5,0.2,0.8,1.8,8.0,0.5,0.553,0.383,0.784,0.592,0.56,G-F
