,Player,Round,Pick,WS,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
303,Stanley Johnson,1,8,6.9,2015-16,2022-23,19-26,449,104,0,19.8,2.3,5.9,1.5,3.4,0.8,2.5,0.9,1.2,0.6,2.6,3.1,1.5,0.9,0.2,1.1,1.9,6.2,0.391,0.454,0.305,0.748,0.489,0.456,F
304,Orlando Johnson,2,36,1.4,2012-13,2015-16,23-26,103,1,0,10.8,1.1,3.2,0.7,1.7,0.5,1.5,0.5,0.6,0.3,1.4,1.7,0.7,0.2,0.1,0.5,0.8,3.2,0.358,0.398,0.311,0.727,0.462,0.43,G
305,Nick Johnson,2,42,-0.1,2014-15,2014-15,22,28,0,0,9.4,0.9,2.7,0.8,1.9,0.2,0.8,0.6,0.9,0.5,0.9,1.4,0.4,0.3,0.1,0.7,1.2,2.6,0.347,0.389,0.238,0.68,0.43,0.38,G
306,Keon Johnson,1,21,-0.9,2021-22,2022-23,19-20,77,12,0,14.5,2.1,5.8,1.3,3.5,0.8,2.4,0.9,1.2,0.5,1.2,1.6,1.8,0.6,0.2,1.2,1.5,5.9,0.362,0.375,0.343,0.739,0.465,0.431,G
307,Keldon Johnson,1,29,10.5,2019-20,2022-23,20-23,224,205,0,30.0,6.1,13.0,4.5,8.5,1.6,4.5,2.7,3.6,1.1,4.5,5.6,2.1,0.7,0.2,1.4,2.0,16.5,0.468,0.523,0.363,0.752,0.565,0.531,G
308,Jalen Johnson,1,20,2.2,2021-22,2022-23,20-21,92,6,0,12.6,2.0,3.9,1.6,2.7,0.4,1.3,0.6,0.9,0.6,2.8,3.3,0.9,0.4,0.4,0.5,1.3,4.9,0.496,0.598,0.282,0.635,0.558,0.541,F
309,JaJuan Johnson,1,27,0.2,2011-12,2011-12,22,36,0,0,8.3,1.5,3.4,1.5,3.4,0.0,0.0,0.2,0.3,0.6,1.1,1.6,0.2,0.1,0.4,0.4,0.7,3.2,0.446,0.446,,0.667,0.456,0.446,F
310,David Johnson,2,47,0.0,2021-22,2021-22,20,2,0,0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,G
311,Dakari Johnson,2,48,0.6,2017-18,2017-18,22,31,6,0,5.2,0.7,1.3,0.7,1.3,0.0,0.0,0.4,0.6,0.5,0.6,1.1,0.3,0.2,0.3,0.1,0.9,1.8,0.564,0.564,,0.55,0.575,0.564,C
312,Cameron Johnson,1,11,14.4,2019-20,2022-23,23-26,225,77,0,25.0,3.9,8.8,1.7,3.2,2.2,5.6,1.3,1.6,0.7,3.0,3.8,1.5,0.8,0.3,0.7,1.6,11.3,0.447,0.543,0.393,0.843,0.6,0.572,F
313,Brice Johnson,1,25,0.1,2016-17,2017-18,22-23,21,0,0,5.1,1.0,2.3,1.0,2.3,0.0,0.0,0.1,0.2,0.5,1.1,1.6,0.1,0.5,0.3,0.3,0.6,2.2,0.449,0.458,0.0,0.6,0.459,0.449,F
314,Armon Johnson,2,34,-0.1,2010-11,2011-12,21-22,47,0,0,8.5,1.4,3.1,1.3,2.7,0.1,0.3,0.4,0.6,0.3,0.8,1.0,1.2,0.2,0.0,0.9,0.9,3.3,0.458,0.465,0.4,0.679,0.502,0.479,G
315,Alize Johnson,2,50,1.3,2018-19,2022-23,22-26,76,1,0,7.5,1.0,2.1,0.9,1.8,0.1,0.3,0.4,0.6,1.0,2.0,3.0,0.4,0.2,0.1,0.4,0.7,2.5,0.481,0.522,0.227,0.711,0.531,0.497,F
316,Isaiah Joe,2,49,4.9,2020-21,2022-23,21-23,169,12,0,14.1,2.0,4.8,0.5,1.1,1.4,3.8,0.8,0.9,0.2,1.3,1.6,0.8,0.4,0.1,0.4,1.1,6.2,0.408,0.486,0.386,0.832,0.588,0.558,G
317,Grant Jerrett,2,40,-0.1,2014-15,2014-15,21,8,0,0,6.4,0.9,3.3,0.8,1.4,0.1,1.9,0.1,0.1,0.3,0.9,1.1,0.4,0.3,0.3,0.4,1.4,2.0,0.269,0.545,0.067,1.0,0.303,0.288,F
318,Ty Jerome,1,24,3.9,2019-20,2022-23,22-25,157,7,0,17.4,2.6,6.2,1.5,3.0,1.1,3.1,0.7,0.9,0.3,1.6,1.9,2.6,0.6,0.1,0.8,1.4,7.0,0.421,0.492,0.352,0.826,0.536,0.51,G
319,John Jenkins,1,23,3.0,2012-13,2018-19,21-27,171,8,0,12.8,1.8,4.1,1.1,2.3,0.7,1.9,0.7,0.8,0.2,1.3,1.5,0.8,0.2,0.1,0.6,0.6,5.0,0.441,0.503,0.367,0.847,0.559,0.524,G
320,Charles Jenkins,2,44,0.5,2011-12,2012-13,22-23,110,29,0,12.1,1.6,3.7,1.6,3.5,0.0,0.2,0.4,0.6,0.1,0.8,0.9,1.9,0.4,0.1,0.7,1.0,3.7,0.434,0.449,0.182,0.754,0.465,0.439,G
321,Cory Jefferson,2,60,0.9,2014-15,2015-16,24-25,58,1,0,10.0,1.4,3.3,1.4,3.0,0.0,0.3,0.6,1.0,0.9,1.9,2.8,0.3,0.2,0.4,0.3,1.2,3.5,0.444,0.474,0.125,0.583,0.476,0.45,F
322,Justin James,2,40,0.3,2019-20,2020-21,23-24,72,0,0,7.5,1.2,2.7,0.9,1.8,0.3,0.9,0.4,0.8,0.2,0.7,0.9,0.6,0.2,0.2,0.3,0.6,3.2,0.446,0.5,0.343,0.544,0.518,0.505,G
323,Damion James,1,24,0.0,2010-11,2013-14,23-26,39,17,0,16.0,1.6,3.8,1.6,3.6,0.0,0.2,0.7,1.1,0.6,2.7,3.4,0.7,0.6,0.5,1.0,1.4,3.8,0.415,0.433,0.0,0.667,0.453,0.415,G-F
324,Bernard James,2,33,1.9,2012-13,2014-15,27-29,92,13,0,8.3,0.8,1.7,0.8,1.6,0.0,0.0,0.6,0.8,0.9,1.4,2.3,0.1,0.2,0.7,0.4,1.1,2.2,0.497,0.507,0.0,0.68,0.546,0.497,C
325,Reggie Jackson,1,24,34.1,2011-12,2022-23,21-32,771,506,0,25.5,4.8,11.3,3.4,7.4,1.4,3.9,1.9,2.2,0.5,2.4,2.9,4.2,0.7,0.1,1.9,1.9,12.8,0.423,0.465,0.344,0.857,0.522,0.483,G
326,Pierre Jackson,2,42,0.0,2016-17,2016-17,25,8,1,0,10.5,1.6,4.9,1.3,3.5,0.4,1.4,0.8,0.9,0.1,1.0,1.1,2.4,0.3,0.0,0.4,0.6,4.4,0.333,0.357,0.273,0.857,0.416,0.372,G
327,Justin Jackson,1,15,5.3,2017-18,2022-23,22-27,278,61,0,17.6,2.3,5.4,1.4,2.8,0.8,2.7,0.6,0.7,0.4,1.9,2.4,1.0,0.3,0.2,0.4,1.0,6.0,0.423,0.523,0.319,0.796,0.524,0.501,G-F
328,Justin Jackson,2,43,5.3,2017-18,2022-23,22-27,278,61,0,17.6,2.3,5.4,1.4,2.8,0.8,2.7,0.6,0.7,0.4,1.9,2.4,1.0,0.3,0.2,0.4,1.0,6.0,0.423,0.523,0.319,0.796,0.524,0.501,G-F
329,Josh Jackson,1,4,-1.7,2017-18,2021-22,20-24,291,92,0,23.1,4.2,10.1,3.3,7.0,0.9,3.1,2.0,2.9,0.9,3.1,4.0,1.8,0.9,0.6,1.8,2.5,11.3,0.416,0.471,0.292,0.68,0.495,0.461,F-G
330,Jaren Jackson Jr.,1,4,19.4,2018-19,2022-23,19-23,267,258,1,27.4,5.8,12.5,4.2,7.8,1.7,4.7,3.2,4.0,1.4,4.1,5.5,1.1,0.9,2.1,1.7,3.7,16.4,0.466,0.535,0.352,0.79,0.578,0.532,F
331,Isaiah Jackson,1,22,4.1,2021-22,2022-23,20-21,99,27,0,16.0,3.0,5.3,2.9,5.0,0.1,0.3,1.6,2.4,1.7,2.6,4.4,0.6,0.6,1.5,0.9,2.5,7.6,0.563,0.583,0.233,0.662,0.6,0.57,C-F
332,Frank Jackson,2,31,2.5,2018-19,2022-23,20-24,214,31,0,18.1,3.1,7.3,1.9,3.8,1.2,3.5,1.2,1.5,0.4,1.4,1.8,1.0,0.4,0.1,0.8,1.5,8.5,0.421,0.502,0.332,0.786,0.534,0.501,G
333,Demetrius Jackson,2,45,0.2,2016-17,2018-19,22-24,26,0,0,5.2,0.7,1.4,0.5,0.9,0.2,0.5,0.3,0.5,0.3,0.4,0.7,0.7,0.3,0.0,0.4,0.4,1.8,0.486,0.609,0.286,0.667,0.568,0.541,G
334,Jaden Ivey,1,5,0.0,2022-23,2022-23,20,74,73,0,31.1,5.5,13.3,3.9,8.6,1.6,4.7,3.6,4.8,1.0,2.9,3.9,5.2,0.8,0.2,3.2,3.3,16.3,0.416,0.457,0.343,0.747,0.528,0.477,G
335,Jonathan Isaac,1,6,7.0,2017-18,2022-23,20-25,147,106,0,24.7,3.4,7.8,2.4,4.9,1.0,2.9,1.3,1.7,1.3,4.1,5.3,1.0,1.1,1.4,1.1,1.9,9.0,0.434,0.493,0.333,0.789,0.53,0.495,F
336,Kyrie Irving,1,1,79.3,2011-12,2022-23,19-30,671,671,8,34.3,8.6,18.2,6.3,12.3,2.3,5.9,3.9,4.4,0.8,3.1,3.9,5.7,1.3,0.4,2.6,2.3,23.4,0.472,0.511,0.391,0.885,0.581,0.536,G
337,Brandon Ingram,1,2,22.1,2016-17,2022-23,19-25,413,374,1,33.0,7.0,15.0,5.6,11.3,1.4,3.7,3.9,5.0,0.7,4.5,5.2,4.1,0.7,0.6,2.5,2.4,19.2,0.464,0.497,0.364,0.784,0.558,0.509,F
338,Chandler Hutchison,1,22,1.1,2018-19,2021-22,22-25,103,25,0,17.4,2.1,4.7,1.8,3.7,0.3,1.1,0.9,1.4,0.5,3.1,3.7,0.8,0.6,0.2,0.7,1.4,5.4,0.442,0.48,0.309,0.643,0.506,0.476,G
339,R.J. Hunter,1,28,0.4,2015-16,2018-19,22-25,45,1,0,8.8,1.1,2.9,0.5,1.0,0.6,2.0,0.2,0.2,0.1,1.0,1.0,0.4,0.4,0.1,0.3,0.9,3.0,0.371,0.523,0.295,0.818,0.486,0.47,G
340,De'Andre Hunter,1,4,5.4,2019-20,2022-23,22-25,206,200,0,31.1,5.0,11.3,3.5,7.0,1.5,4.3,2.3,2.9,0.6,3.5,4.2,1.5,0.7,0.3,1.4,2.9,13.9,0.444,0.497,0.356,0.799,0.552,0.511,F
341,Robbie Hummel,2,58,1.9,2013-14,2014-15,24-25,98,9,0,14.3,1.5,3.6,1.0,2.1,0.5,1.4,0.4,0.5,0.7,2.0,2.7,0.5,0.3,0.1,0.3,1.5,3.9,0.418,0.469,0.343,0.867,0.514,0.487,F
342,Elijah Hughes,2,39,-0.4,2020-21,2021-22,22-23,54,4,0,9.2,1.1,3.2,0.4,1.0,0.6,2.2,0.2,0.2,0.1,1.1,1.2,0.5,0.3,0.2,0.4,0.7,2.9,0.328,0.429,0.28,0.769,0.437,0.422,F
343,Josh Huestis,1,29,0.7,2015-16,2017-18,24-26,76,10,0,14.1,0.9,2.7,0.4,1.1,0.5,1.6,0.1,0.3,0.6,1.7,2.4,0.3,0.2,0.6,0.4,1.1,2.5,0.346,0.4,0.312,0.24,0.433,0.441,F
344,Kevin Huerter,1,19,14.3,2018-19,2022-23,20-24,349,291,0,29.6,4.6,10.4,2.4,4.7,2.2,5.7,0.8,1.1,0.6,2.9,3.5,3.1,1.0,0.3,1.3,2.4,12.2,0.444,0.515,0.385,0.766,0.563,0.55,G
345,Caleb Houstan,2,32,0.7,2022-23,2022-23,20,51,4,0,15.9,1.3,3.6,0.4,0.9,0.9,2.7,0.3,0.4,0.7,1.3,1.9,0.6,0.2,0.1,0.4,1.2,3.8,0.363,0.435,0.338,0.833,0.508,0.489,G-F
346,Talen Horton-Tucker,2,46,4.1,2019-20,2022-23,19-22,196,44,0,21.5,3.7,8.5,2.9,5.8,0.8,2.7,1.7,2.2,0.5,2.4,3.0,3.0,0.9,0.4,1.6,2.0,9.8,0.431,0.5,0.28,0.77,0.515,0.475,G-F
347,Rodney Hood,1,23,17.4,2014-15,2021-22,22-29,448,253,0,24.5,3.8,9.0,2.3,5.0,1.4,4.0,1.4,1.7,0.4,2.2,2.6,1.6,0.7,0.2,1.0,1.9,10.4,0.42,0.462,0.366,0.841,0.535,0.5,G-F
348,Tyler Honeycutt,2,35,-0.1,2011-12,2012-13,21-22,24,0,0,5.0,0.5,1.5,0.4,1.3,0.0,0.2,0.2,0.3,0.3,0.8,1.0,0.4,0.2,0.2,0.3,0.2,1.2,0.314,0.333,0.2,0.714,0.368,0.329,F
349,Richaun Holmes,2,37,27.4,2015-16,2022-23,22-29,418,161,0,19.8,3.7,6.1,3.6,5.7,0.1,0.4,1.4,1.9,1.7,3.7,5.4,1.0,0.5,1.0,0.9,2.6,8.9,0.606,0.63,0.273,0.747,0.643,0.615,C-F
350,Rondae Hollis-Jefferson,1,23,12.9,2015-16,2020-21,21-26,305,154,0,22.2,3.3,7.3,3.1,6.7,0.1,0.7,2.3,3.2,1.4,4.1,5.5,1.9,0.9,0.5,1.3,2.0,9.0,0.449,0.473,0.212,0.735,0.518,0.458,F
351,Aaron Holiday,1,23,5.6,2018-19,2022-23,22-26,308,62,0,17.2,2.4,5.9,1.6,3.6,0.9,2.3,0.9,1.0,0.3,1.4,1.6,2.2,0.7,0.2,1.0,1.5,6.6,0.413,0.436,0.377,0.841,0.521,0.488,G
352,Darington Hobson,2,37,-0.2,2011-12,2011-12,24,5,0,0,7.8,0.4,2.6,0.4,1.4,0.0,1.2,0.0,0.0,0.0,0.6,0.6,1.2,0.0,0.0,0.4,0.2,0.8,0.154,0.286,0.0,,0.154,0.154,G
353,Darrun Hilliard,2,38,0.3,2015-16,2017-18,22-24,91,3,0,9.4,1.1,3.0,0.8,1.9,0.3,1.1,0.6,0.8,0.1,0.9,0.9,0.8,0.2,0.0,0.6,0.8,3.2,0.377,0.42,0.304,0.747,0.477,0.433,G
354,Solomon Hill,1,23,11.9,2013-14,2021-22,22-30,448,189,0,21.5,1.9,4.9,1.1,2.4,0.8,2.4,0.9,1.1,0.6,2.5,3.1,1.5,0.7,0.2,0.8,1.7,5.5,0.388,0.445,0.331,0.797,0.511,0.471,F
355,Buddy Hield,1,6,21.4,2016-17,2022-23,24-30,548,369,0,29.5,5.8,13.4,2.7,5.7,3.1,7.7,1.3,1.5,0.8,3.6,4.4,2.6,0.9,0.3,1.8,2.1,16.1,0.434,0.477,0.402,0.858,0.57,0.55,G-F
356,Kevin Hervey,2,57,-0.1,2019-20,2019-20,23,10,0,0,5.2,0.7,2.7,0.4,0.7,0.3,2.0,0.0,0.0,0.1,1.1,1.2,0.5,0.1,0.1,0.0,0.4,1.7,0.259,0.571,0.15,,0.315,0.315,F
357,Tyler Herro,1,13,10.5,2019-20,2022-23,20-23,242,100,0,31.5,6.5,14.7,4.0,8.2,2.5,6.5,2.2,2.6,0.4,4.5,4.9,3.5,0.7,0.2,2.1,1.4,17.7,0.439,0.484,0.383,0.875,0.557,0.524,G
358,Dewan Hernandez,2,59,0.0,2019-20,2019-20,23,6,0,0,4.7,0.8,2.3,0.7,2.0,0.2,0.3,0.5,0.8,0.8,1.5,2.3,0.5,0.2,0.0,0.5,1.0,2.3,0.357,0.333,0.5,0.6,0.432,0.393,F
359,John Henson,1,14,20.7,2012-13,2019-20,22-29,445,160,0,19.7,3.2,6.0,3.2,5.8,0.0,0.2,1.1,1.9,1.8,3.5,5.3,1.1,0.5,1.4,1.1,2.2,7.6,0.54,0.549,0.25,0.568,0.557,0.544,C-F
360,Xavier Henry,1,12,0.8,2010-11,2014-15,19-23,185,23,0,15.7,2.0,4.9,1.8,4.2,0.2,0.7,1.5,2.3,0.4,1.5,1.9,0.6,0.5,0.1,0.8,1.4,5.7,0.406,0.419,0.325,0.635,0.479,0.428,G
361,Lazar Hayward,1,30,0.2,2010-11,2012-13,24-26,72,0,0,8.2,1.0,2.8,0.7,1.7,0.3,1.1,0.6,0.8,0.3,0.9,1.3,0.5,0.2,0.1,0.4,0.9,2.9,0.347,0.395,0.269,0.767,0.453,0.399,F
362,Gordon Hayward,1,9,61.9,2010-11,2022-23,20-32,784,621,1,31.1,5.4,11.9,4.0,8.2,1.4,3.7,3.4,4.1,0.8,3.7,4.5,3.5,1.0,0.4,2.0,1.7,15.5,0.455,0.494,0.369,0.825,0.568,0.512,F-G
363,Jaxson Hayes,1,8,14.0,2019-20,2022-23,19-22,241,47,0,16.8,2.8,4.5,2.7,4.1,0.1,0.4,1.7,2.4,1.4,2.6,4.0,0.7,0.4,0.7,0.7,2.0,7.5,0.622,0.657,0.288,0.719,0.67,0.636,F
364,Josh Hart,1,30,21.8,2017-18,2022-23,22-27,372,170,0,28.3,3.5,7.5,2.2,3.8,1.3,3.8,1.5,2.1,1.1,5.1,6.2,2.4,1.0,0.3,1.2,2.3,9.8,0.465,0.578,0.35,0.741,0.583,0.552,G
365,Andrew Harrison,2,44,3.2,2016-17,2018-19,22-24,145,64,0,20.6,2.2,5.8,1.5,3.6,0.7,2.2,2.0,2.6,0.4,1.6,2.0,2.8,0.7,0.3,1.2,2.5,7.0,0.373,0.422,0.294,0.779,0.503,0.429,G
366,Tobias Harris,1,19,64.2,2011-12,2022-23,19-30,827,707,0,31.5,6.2,13.0,4.8,9.3,1.4,3.7,2.4,2.9,1.0,5.1,6.1,2.3,0.8,0.5,1.4,2.0,16.2,0.478,0.521,0.369,0.831,0.568,0.53,F
367,Jalen Harris,2,59,0.3,2020-21,2020-21,22,13,2,0,13.2,2.8,5.5,1.5,2.8,1.3,2.8,0.5,0.7,0.2,1.2,1.4,1.3,0.6,0.0,1.1,1.2,7.4,0.5,0.528,0.472,0.778,0.632,0.618,G
368,Gary Harris,1,19,23.1,2014-15,2022-23,20-28,516,416,0,28.4,4.2,9.5,2.7,5.3,1.5,4.2,1.4,1.8,0.6,1.9,2.4,2.0,1.1,0.2,1.1,1.8,11.5,0.448,0.51,0.37,0.815,0.56,0.53,G
369,Joe Harris,2,33,23.1,2014-15,2022-23,23-31,488,283,0,24.9,3.8,8.0,1.8,3.3,2.1,4.8,0.8,1.0,0.5,2.6,3.1,1.6,0.5,0.2,1.1,2.0,10.5,0.48,0.543,0.437,0.772,0.624,0.61,G
370,Josh Harrellson,2,45,2.1,2011-12,2013-14,22-24,75,4,0,11.8,1.4,3.2,1.0,1.9,0.4,1.3,0.3,0.5,1.1,2.0,3.0,0.3,0.4,0.5,0.4,1.3,3.5,0.438,0.497,0.347,0.629,0.519,0.506,C
371,Montrezl Harrell,2,32,42.9,2015-16,2022-23,22-29,515,36,0,20.5,4.9,7.9,4.8,7.7,0.0,0.2,2.3,3.5,1.8,3.2,5.0,1.3,0.5,0.8,1.1,2.1,12.1,0.619,0.629,0.108,0.664,0.642,0.62,F-C
372,Justin Harper,2,32,-0.3,2011-12,2016-17,22-27,22,0,0,6.8,0.8,2.4,0.5,1.1,0.4,1.3,0.0,0.1,0.2,0.6,0.8,0.2,0.1,0.1,0.5,0.5,2.0,0.34,0.417,0.276,0.333,0.414,0.415,F
373,Maurice Harkless,1,15,23.0,2012-13,2021-22,19-28,621,371,0,22.6,2.7,5.7,2.1,3.8,0.6,1.9,0.8,1.3,1.1,2.5,3.5,0.9,0.9,0.6,0.8,2.0,6.9,0.474,0.551,0.32,0.624,0.544,0.528,F-G
374,Tim Hardaway Jr.,1,24,28.1,2013-14,2022-23,21-30,657,333,0,27.4,4.9,11.6,2.6,5.4,2.2,6.2,2.0,2.5,0.3,2.6,2.9,1.9,0.6,0.1,1.0,1.7,14.0,0.42,0.487,0.361,0.808,0.551,0.516,G
375,Luke Harangody,2,52,0.9,2010-11,2011-12,23-24,70,1,0,12.4,1.5,3.9,1.2,2.6,0.3,1.2,0.4,0.5,0.9,1.9,2.8,0.5,0.3,0.3,0.3,1.4,3.6,0.376,0.44,0.241,0.737,0.44,0.415,F
376,A.J. Hammons,2,46,0.0,2016-17,2016-17,24,22,0,0,7.4,0.8,1.9,0.5,1.5,0.2,0.5,0.4,0.9,0.4,1.3,1.6,0.2,0.0,0.6,0.5,1.0,2.2,0.405,0.375,0.5,0.45,0.472,0.464,C
377,Justin Hamilton,2,45,3.7,2013-14,2016-17,23-26,113,21,0,17.4,2.4,5.1,1.8,3.2,0.6,1.9,0.7,0.9,1.2,2.4,3.6,0.8,0.5,0.6,0.6,1.5,6.1,0.464,0.56,0.309,0.798,0.552,0.523,C
378,Jordan Hamilton,1,26,3.0,2011-12,2015-16,21-25,151,21,0,13.9,2.3,5.6,1.4,3.0,0.9,2.5,0.5,0.7,0.6,2.3,2.8,0.8,0.5,0.2,0.7,1.0,5.9,0.408,0.451,0.357,0.67,0.503,0.489,G-F
379,Daniel Hamilton,2,56,0.0,2017-18,2018-19,22-23,25,3,0,9.3,1.1,2.8,0.7,1.7,0.4,1.1,0.1,0.2,0.4,1.7,2.1,1.2,0.3,0.0,0.7,0.8,2.8,0.394,0.419,0.357,0.5,0.468,0.465,G-F
380,Devon Hall,2,53,-0.2,2019-20,2019-20,24,11,0,0,7.4,0.5,2.7,0.2,1.2,0.4,1.5,0.4,0.7,0.2,0.5,0.6,1.2,0.4,0.1,0.5,0.5,1.8,0.2,0.154,0.235,0.5,0.298,0.267,G
381,Tyrese Haliburton,1,12,18.2,2020-21,2022-23,20-22,191,153,1,33.1,5.9,12.4,3.6,6.7,2.3,5.7,2.0,2.3,0.7,2.9,3.6,8.0,1.6,0.5,2.3,1.4,16.2,0.479,0.539,0.408,0.857,0.603,0.572,G
382,P.J. Hairston,1,26,0.9,2014-15,2015-16,22-23,111,54,0,18.0,2.1,6.1,1.0,2.5,1.1,3.6,0.7,0.9,0.4,2.0,2.4,0.5,0.5,0.2,0.6,1.8,6.0,0.343,0.414,0.295,0.81,0.46,0.431,G-F
383,Rui Hachimura,1,9,7.2,2019-20,2022-23,21-24,210,127,0,26.9,4.9,10.3,4.1,7.9,0.8,2.4,1.8,2.3,1.0,4.0,5.0,1.3,0.6,0.2,1.0,1.7,12.5,0.48,0.52,0.347,0.77,0.552,0.52,F
384,Kyle Guy,2,55,0.1,2019-20,2021-22,22-24,53,0,0,8.1,1.1,3.0,0.6,1.3,0.5,1.7,0.5,0.6,0.2,0.8,1.0,0.9,0.2,0.0,0.5,0.6,3.1,0.361,0.435,0.303,0.75,0.479,0.446,G
385,Quentin Grimes,1,25,6.2,2021-22,2022-23,21-22,117,72,0,24.8,3.2,7.2,1.3,2.1,2.0,5.1,0.8,1.0,0.6,2.1,2.8,1.7,0.7,0.3,0.8,2.1,9.2,0.45,0.614,0.384,0.778,0.604,0.587,G
386,AJ Griffin,1,16,2.2,2022-23,2022-23,19,72,12,0,19.5,3.4,7.4,2.0,3.8,1.4,3.6,0.6,0.7,0.5,1.6,2.1,1.0,0.6,0.2,0.6,1.2,8.9,0.465,0.536,0.39,0.894,0.577,0.56,F
387,Josh Green,1,18,5.5,2020-21,2022-23,20-22,166,29,0,18.2,2.3,4.4,1.7,2.8,0.6,1.6,0.7,1.0,0.8,1.7,2.5,1.3,0.6,0.1,0.8,1.8,5.8,0.516,0.603,0.368,0.691,0.602,0.584,G-F
388,Erick Green,2,46,0.1,2014-15,2015-16,23-24,52,1,0,8.7,1.3,3.4,1.0,2.4,0.3,1.0,0.2,0.3,0.2,0.5,0.7,0.8,0.3,0.0,0.3,0.6,3.1,0.377,0.415,0.288,0.857,0.439,0.42,G
389,Draymond Green,2,35,57.4,2012-13,2022-23,22-32,758,608,4,28.8,3.2,7.1,2.4,4.6,0.8,2.6,1.5,2.1,1.1,5.9,7.0,5.6,1.4,1.0,2.3,2.8,8.7,0.449,0.523,0.314,0.712,0.539,0.505,F
390,Jerian Grant,1,19,8.3,2015-16,2019-20,23-27,279,61,0,17.9,2.1,5.2,1.5,3.2,0.6,1.9,1.2,1.5,0.3,1.6,1.9,2.9,0.7,0.1,1.0,1.5,6.1,0.411,0.464,0.323,0.77,0.518,0.472,G
391,Jerami Grant,2,39,32.2,2014-15,2022-23,20-28,618,333,0,27.0,4.2,9.3,3.1,6.0,1.2,3.3,2.7,3.7,0.9,3.1,4.0,1.5,0.6,1.1,1.2,2.3,12.3,0.456,0.509,0.358,0.737,0.566,0.519,F
392,Devonte' Graham,2,34,12.6,2018-19,2022-23,23-27,313,171,0,25.7,3.7,9.9,1.3,3.2,2.4,6.7,1.8,2.3,0.4,1.9,2.3,4.5,0.8,0.2,1.4,1.3,11.6,0.372,0.405,0.356,0.812,0.531,0.492,G
393,Andrew Goudelock,2,46,0.0,2011-12,2015-16,23-27,49,0,0,9.7,1.6,4.0,1.0,2.3,0.6,1.7,0.3,0.3,0.1,0.6,0.7,0.5,0.2,0.0,0.6,0.7,4.0,0.393,0.429,0.345,0.875,0.485,0.467,G
394,Aaron Gordon,1,4,35.6,2014-15,2022-23,19-27,596,507,0,29.1,5.1,10.8,4.0,7.4,1.1,3.3,2.1,3.1,1.7,4.6,6.3,2.5,0.7,0.6,1.5,2.0,13.4,0.472,0.539,0.325,0.686,0.552,0.523,F
395,Archie Goodwin,1,29,1.1,2013-14,2016-17,19-22,165,15,0,14.5,2.2,5.2,2.0,4.0,0.3,1.2,1.6,2.3,0.5,1.5,2.0,1.2,0.4,0.2,1.2,1.2,6.3,0.429,0.484,0.236,0.7,0.51,0.455,G
396,Shai Gilgeous-Alexander,1,11,29.0,2018-19,2022-23,20-24,311,302,1,32.6,7.4,15.2,6.2,11.9,1.1,3.3,5.2,6.2,0.7,3.9,4.6,4.5,1.2,0.7,2.3,2.2,21.1,0.484,0.521,0.347,0.845,0.588,0.521,G
397,Harry Giles,1,20,3.0,2018-19,2020-21,20-22,142,17,0,12.9,2.5,4.9,2.5,4.7,0.1,0.2,0.8,1.2,1.0,2.8,3.8,1.2,0.4,0.4,1.0,2.3,5.9,0.511,0.523,0.258,0.671,0.541,0.517,F-C
398,Paul George,1,10,81.2,2010-11,2022-23,20-32,793,745,8,33.6,7.0,16.1,4.5,9.4,2.5,6.6,4.0,4.8,0.9,5.5,6.4,3.7,1.7,0.4,2.7,2.7,20.6,0.437,0.477,0.381,0.85,0.568,0.516,F-G
399,Michael Gbinije,2,49,-0.1,2016-17,2016-17,24,9,0,0,3.6,0.1,1.1,0.1,0.7,0.0,0.4,0.2,0.2,0.2,0.1,0.3,0.2,0.0,0.0,0.0,0.2,0.4,0.1,0.167,0.0,1.0,0.184,0.1,G
400,Luka Garza,2,52,1.8,2021-22,2022-23,23-24,60,5,0,10.5,2.2,4.4,1.7,2.9,0.5,1.5,1.3,1.9,1.5,1.2,2.7,0.6,0.2,0.1,0.5,1.6,6.1,0.49,0.566,0.341,0.699,0.587,0.548,F-C
401,Darius Garland,1,5,13.8,2019-20,2022-23,20-23,250,246,1,34.0,6.8,15.2,4.6,9.5,2.2,5.7,2.7,3.1,0.5,2.1,2.6,6.7,1.1,0.1,3.0,1.9,18.5,0.449,0.485,0.387,0.871,0.559,0.521,G
402,Daniel Gafford,2,38,17.4,2019-20,2022-23,21-24,247,118,0,18.0,3.3,4.7,3.3,4.7,0.0,0.0,1.4,2.1,1.9,2.9,4.8,0.8,0.4,1.3,0.9,2.2,8.0,0.706,0.706,0.0,0.665,0.714,0.706,C-F
403,Markelle Fultz,1,1,7.2,2017-18,2022-23,19-24,191,146,0,26.3,4.9,10.5,4.5,9.0,0.4,1.4,1.6,2.1,0.8,2.6,3.5,5.0,1.2,0.3,2.0,2.0,11.8,0.472,0.502,0.278,0.734,0.519,0.491,G
